source,Human
target,Yield_CO_s
run0,17.388744354248047
run1,12.850056648254395
run2,17.6418399810791
run3,15.08396053314209
run4,19.336929321289062
run5,13.112768173217773
run6,14.525415420532227
run7,14.165395736694336
run8,14.24969482421875
run9,13.946764945983887
rmse_test_mean,15.230155944824219
rmse_test_max,19.336929321289062
rmse_test_min,12.850056648254395
rmse_test_std,2.0432732105255127
