source,AI,AI2,Human,Random
target,Yield_CO_cl,Yield_CO_cl,Yield_CO_cl,Yield_CO_cl
run0,0.765053391456604,0.7063710689544678,0.5808340311050415,0.7450363636016846
run1,0.679882287979126,0.539820671081543,0.7214776873588562,0.621406078338623
run2,0.656650185585022,0.5923737287521362,0.682394802570343,0.604864776134491
run3,0.75359708070755,0.7001800537109375,0.7590346932411194,0.77715003490448
run4,0.7683699727058411,0.7788287401199341,0.7427231073379517,0.8159177303314209
run5,0.703270673751831,0.6503085494041443,0.7545228004455566,0.695716381072998
run6,0.711417555809021,0.6230521202087402,0.7911484837532043,0.6976209878921509
run7,0.6477838754653931,0.6974879503250122,0.8022284507751465,0.7158799767494202
run8,0.5284923911094666,0.5527733564376831,0.5436810255050659,0.5230053663253784
run9,0.6384230852127075,0.5016142725944519,0.5560237169265747,0.5500445365905762
r2_test_mean,0.6852940499782563,0.634281051158905,0.693406879901886,0.6746642231941223
r2_test_max,0.7683699727058411,0.7788287401199341,0.8022284507751465,0.8159177303314209
r2_test_min,0.5284923911094666,0.5016142725944519,0.5436810255050659,0.5230053663253784
r2_test_std,0.06926361306302835,0.08350732350439272,0.09313627576594712,0.09182371465102468
