source,AI+Human,AI2+Human,Random+Human
target,Yield_CO_cl,Yield_CO_cl,Yield_CO_cl
run0,0.7099876403808594,0.6888240575790405,0.5829610824584961
run1,0.7890095114707947,0.7192797064781189,0.6630346775054932
run2,0.7193509936332703,0.6830049753189087,0.6778954863548279
run3,0.8140636086463928,0.7598203420639038,0.7431917190551758
run4,0.8363022804260254,0.7967917919158936,0.7887846827507019
run5,0.7876274585723877,0.7639769315719604,0.7643865942955017
run6,0.7886658310890198,0.7577378153800964,0.8005409240722656
run7,0.73949134349823,0.7295408248901367,0.7370477914810181
run8,0.6225320100784302,0.576616644859314,0.6064441800117493
run9,0.6966536045074463,0.6515379548072815,0.6331484317779541
r2_test_mean,0.7503684282302856,0.7127131044864654,0.6997435569763184
r2_test_max,0.8363022804260254,0.7967917919158936,0.8005409240722656
r2_test_min,0.6225320100784302,0.576616644859314,0.5829610824584961
r2_test_std,0.06142328143730035,0.061634178236054236,0.07358614889030404
