Substance ID,SMILES,BertzCT,Kappa2
ZINC000000000088,C=CCC1=C(C)[C@@H](OC(=O)[C@H]2[C@@H](C=C(C)C)C2(C)C)CC1=O,573.4877160391027,5.864062936700998
ZINC000000000091,C[C@H](C(=O)O)c1nc(-c2ccc(Br)cc2)cs1,535.6935865709551,4.975835039898312
ZINC000000000092,COc1cc(C[C@@H](C)N)c(OC)cc1Br,339.6049607753009,5.372938862523981
ZINC000000000093,COc1ccc(C(=O)/C(Br)=C/C(=O)O)cc1,433.8027140673132,5.45996498257116
ZINC000000000095,CN(C)CCO[C@H](c1ccccc1)c1ccc(Br)cc1,510.2730301856948,7.576942748420859
ZINC000000000096,CN(C)CC[C@@H](c1ccc(Br)cc1)c1ccccn1,493.91719964890143,6.826182966360543
ZINC000000000098,CC(C)(C)NC[C@H](O)c1cc(Br)no1,293.24721543994883,4.420021060865355
ZINC000000000099,CCOc1ccc(NC(=O)C[C@@H](C)O)cc1,332.62203889304567,6.12446625685769
ZINC000000000100,Cc1ccc(OC[C@H](O)CNC(C)(C)C)c2oc(=O)ccc12,699.8516472684541,6.501385750613841
ZINC000000000101,CC(C)(C)NC[C@@H](O)COc1ccccc1OC[C@@H]1CCCO1,466.33454409393073,8.523658606457362
ZINC000000000102,CCc1cccc2cc([C@H](O)CNC(C)(C)C)oc12,551.3645419579747,5.352491563366634
ZINC000000000103,COc1ccc2c(c1O)-c1c3c(cc4c1[C@H](C2)N(C)CC4)OCO3,861.1757846095304,4.800951248513675
ZINC000000000104,CC(C)(C)NC[C@@H](O)COc1ccccc1C#N,418.53754752791343,6.38616361518244
ZINC000000000106,Cc1ccc(Cl)c(OC[C@@H](O)CNC(C)(C)C)c1,387.8706482792875,6.412265532422553
ZINC000000000109,CC(C)C(=O)Nc1cccc([C@@H]2CN3CCSC3=N2)c1,555.8045370551284,5.480773739059558
ZINC000000000111,CC[C@H](C(=O)O)c1ccc(-c2ccccc2)cc1,514.5530409852149,5.496442955858815
ZINC000000000112,CCCC(=O)c1cc(F)ccc1OC[C@H](O)CNC(C)(C)C,497.16768435267994,8.245862363105372
ZINC000000000113,CCOC(=O)NNc1ccc(N(CC)C[C@@H](C)O)nn1,410.05875070717855,8.155184456818768
ZINC000000000115,O=C(O)[C@H]1CCc2cc(OCCn3ccnc3)ccc21,607.5861163181356,5.364833374604126
ZINC000000000116,CC1(C)[C@H]2CC[C@]1(C)C(=O)[C@H]2Br,246.2231344031171,2.1434085618722865
ZINC000000000118,NC(=O)N1c2ccccc2C2O[C@@H]2c2ccccc21,631.850721354104,3.585103286677952
ZINC000000000122,CN(C)CCO[C@@H](c1ccc(Cl)cc1)c1ccccn1,513.7598984869505,7.385618027668948
ZINC000000000123,CN1C(=O)CN(C(N)=O)[C@H](c2ccccc2)c2cc(Cl)ccc21,763.6887260864563,5.92909375385241
ZINC000000000124,CC(C)(C)NC[C@@H](O)c1ccc(O)c(NC(N)=O)c1,454.93693078110005,5.900594248298427
ZINC000000000125,C#C[C@H](OC(N)=O)c1ccccc1,326.52802428866016,4.169755322247692
ZINC000000000127,CC(C)OC(=O)c1cc2c(OC[C@H](O)CNC(C)(C)C)cccc2[nH]1,715.7726587983667,7.8869342264956455
