source,aats8p,aatsc3d,abcgg,atsc3d,atsc4i,bcutp1l,bertzct,estatevsa3,frnh0,ggi10,kappa2,kappa3,kier2,kier3,peoevsa6,vsaestate3
target,Yield_CO_cl,Yield_CO_cl,Yield_CO_cl,Yield_CO_cl,Yield_CO_cl,Yield_CO_cl,Yield_CO_cl,Yield_CO_cl,Yield_CO_cl,Yield_CO_cl,Yield_CO_cl,Yield_CO_cl,Yield_CO_cl,Yield_CO_cl,Yield_CO_cl,Yield_CO_cl
run0,12.853058815002441,12.169957160949707,10.41596794128418,11.631830215454102,11.378281593322754,13.58665657043457,9.930623054504395,16.09318733215332,12.679620742797852,11.56948184967041,12.480511665344238,10.8883056640625,11.367949485778809,12.232401847839355,11.106548309326172,12.934011459350586
run1,9.866399765014648,12.313708305358887,8.074738502502441,12.434102058410645,10.491934776306152,14.86474323272705,6.987880706787109,10.049412727355957,9.904376983642578,10.441390991210938,8.73439884185791,9.704618453979492,9.573811531066895,8.251143455505371,12.253345489501953,10.17312240600586
run2,14.312322616577148,11.389467239379883,13.884217262268066,11.166142463684082,12.439064025878906,14.724504470825195,9.757168769836426,15.625704765319824,13.966727256774902,10.574968338012695,13.81979751586914,15.302166938781738,12.32699203491211,13.10132884979248,11.767294883728027,15.462751388549805
run3,9.219844818115234,10.108816146850586,9.196695327758789,9.478622436523438,9.432014465332031,17.146486282348633,8.843230247497559,10.684159278869629,9.876863479614258,9.240568161010742,9.808306694030762,10.306608200073242,9.695228576660156,9.809683799743652,10.743964195251465,11.771539688110352
run4,9.400146484375,10.764470100402832,9.063673973083496,10.403810501098633,8.753426551818848,14.56911849975586,7.615395545959473,10.652172088623047,8.743696212768555,9.353407859802246,9.974788665771484,9.812179565429688,9.68471908569336,9.179837226867676,11.289615631103516,11.925039291381836
run5,9.408071517944336,10.875773429870605,8.453227043151855,10.423078536987305,10.75430965423584,11.365073204040527,8.233316421508789,9.707036972045898,7.865753650665283,9.654251098632812,9.11378002166748,10.023073196411133,9.660140037536621,9.709306716918945,10.29804801940918,10.485732078552246
run6,8.915346145629883,10.341471672058105,8.07933235168457,10.54352855682373,10.344558715820312,14.197739601135254,8.102166175842285,9.409276962280273,9.866880416870117,10.683944702148438,9.297924041748047,10.348177909851074,9.550533294677734,9.260560035705566,12.098981857299805,10.941499710083008
run7,10.674257278442383,10.83535099029541,10.737184524536133,9.878606796264648,10.34813404083252,13.830423355102539,9.477790832519531,11.948099136352539,10.786369323730469,11.278956413269043,9.393790245056152,10.958699226379395,10.690608024597168,10.85018253326416,10.500921249389648,11.113945007324219
run8,11.65372085571289,11.951516151428223,11.837066650390625,13.591673851013184,12.868995666503906,16.29840850830078,10.153358459472656,11.865108489990234,12.216691970825195,12.891402244567871,12.729364395141602,11.602699279785156,12.46137809753418,12.692115783691406,13.149843215942383,12.785757064819336
run9,9.390604019165039,10.119494438171387,9.261920928955078,10.089051246643066,9.296327590942383,13.636959075927734,8.441544532775879,10.383188247680664,9.679678916931152,9.19498348236084,9.516305923461914,11.247282981872559,9.250800132751465,9.962703704833984,11.14793586730957,10.642424583435059
rmse_test_mean,10.569375991821289,11.08700180053711,9.900403022766113,10.964044570922852,10.61070442199707,14.422012329101562,8.754247665405273,11.641735076904297,10.558666229248047,10.488335609436035,10.486897468566895,11.019380569458008,10.426217079162598,10.504925727844238,11.435649871826172,11.823582649230957
rmse_test_max,14.312322616577148,12.313708305358887,13.884217262268066,13.591673851013184,12.868995666503906,17.146486282348633,10.153358459472656,16.09318733215332,13.966727256774902,12.891402244567871,13.81979751586914,15.302166938781738,12.46137809753418,13.10132884979248,13.149843215942383,15.462751388549805
rmse_test_min,8.915346145629883,10.108816146850586,8.074738502502441,9.478622436523438,8.753426551818848,11.365073204040527,6.987880706787109,9.409276962280273,7.865753650665283,9.19498348236084,8.73439884185791,9.704618453979492,9.250800132751465,8.251143455505371,10.29804801940918,10.17312240600586
rmse_test_std,1.7195380926132202,0.7859501838684082,1.758809208869934,1.2035735845565796,1.2558995485305786,1.4937219619750977,1.0044925212860107,2.2488605976104736,1.7777585983276367,1.1327003240585327,1.7129335403442383,1.5457179546356201,1.151418685913086,1.5627764463424683,0.8376025557518005,1.5035303831100464
