source,AI,AI2,Human,Random
target,Yield_CN,Yield_CN,Yield_CN,Yield_CN
run0,32.67111587524414,32.692481994628906,29.3033447265625,31.521894454956055
run1,27.865093231201172,34.973052978515625,29.871320724487305,31.57117462158203
run2,36.729515075683594,39.05677032470703,33.22248077392578,36.1287956237793
run3,32.63053894042969,35.08231735229492,31.523456573486328,32.2664909362793
run4,34.57115936279297,33.843589782714844,30.126953125,31.019420623779297
run5,37.91559600830078,39.23752212524414,37.6144905090332,37.14925003051758
run6,30.57917594909668,31.286224365234375,33.57271194458008,29.7900390625
run7,27.430686950683594,30.060928344726562,27.480484008789062,26.62558364868164
run8,34.335792541503906,36.35568618774414,37.56338882446289,34.28838348388672
run9,28.6649112701416,29.497224807739258,34.86478042602539,27.81072998046875
rmse_test_mean,32.339359283447266,34.208580017089844,32.514339447021484,31.817174911499023
rmse_test_max,37.91559600830078,39.23752212524414,37.6144905090332,37.14925003051758
rmse_test_min,27.430686950683594,29.497224807739258,27.480484008789062,26.62558364868164
rmse_test_std,3.4676120281219482,3.242297410964966,3.2858457565307617,3.181626558303833
