target,Yield_CO_cl,Yield_CO_l,Yield_CO_s
run0,13.633317947387695,22.771535873413086,25.83431625366211
run1,11.935654640197754,22.368730545043945,17.627182006835938
run2,12.428718566894531,24.820003509521484,28.64507484436035
run3,12.230361938476562,20.219932556152344,15.59009838104248
run4,12.374531745910645,25.963762283325195,25.55227279663086
run5,13.382041931152344,27.272920608520508,19.74671173095703
run6,10.938139915466309,23.52965545654297,24.536170959472656
run7,13.679689407348633,23.72322654724121,21.056501388549805
run8,14.520517349243164,26.373680114746094,18.891584396362305
run9,13.598608016967773,23.832963943481445,20.716995239257812
rmse_test_mean,12.87215814590454,24.087641143798827,21.819690799713136
rmse_test_max,14.520517349243164,27.272920608520508,28.64507484436035
rmse_test_min,10.938139915466309,20.219932556152344,15.59009838104248
rmse_test_std,1.0104409103159793,1.989550893038511,3.9378790522414153
