source,AI,AI2,Human,Random
target,Yield_CO_cl,Yield_CO_cl,Yield_CO_cl,Yield_CO_cl
run0,10.502058982849121,10.685586929321289,13.440878868103027,9.900595664978027
run1,9.394073486328125,9.944478988647461,8.941572189331055,9.23740005493164
run2,14.982136726379395,13.044041633605957,13.222867965698242,12.71081256866455
run3,9.849093437194824,11.110980987548828,9.923954010009766,9.127402305603027
run4,8.343541145324707,9.529133796691895,9.691061973571777,8.940860748291016
run5,8.752141952514648,9.892449378967285,8.974803924560547,9.543938636779785
run6,10.18199348449707,11.102622032165527,8.640276908874512,10.366388320922852
run7,10.430337905883789,10.036556243896484,9.147099494934082,10.350591659545898
run8,13.095163345336914,13.400225639343262,14.53582763671875,12.845795631408691
run9,10.469291687011719,10.110218048095703,10.96470832824707,11.558808326721191
rmse_test_mean,10.599983215332031,10.885629653930664,10.74830436706543,10.458259582519531
rmse_test_max,14.982136726379395,13.400225639343262,14.53582763671875,12.845795631408691
rmse_test_min,8.343541145324707,9.529133796691895,8.640276908874512,8.940860748291016
rmse_test_std,1.9021950960159302,1.2709941864013672,2.073164701461792,1.3680903911590576
