source,AI,AI2,Human,Random
target,Yield_CO_l,Yield_CO_l,Yield_CO_l,Yield_CO_l
run0,0.7875985503196716,0.7240148782730103,0.7822048664093018,0.7477316856384277
run1,0.7129738330841064,0.6726841330528259,0.7216067314147949,0.5498560667037964
run2,0.8234736919403076,0.7660328149795532,0.8836776614189148,0.8384445905685425
run3,0.8106067776679993,0.7632485032081604,0.6841413974761963,0.7993055582046509
run4,0.8757997155189514,0.8321276903152466,0.7195924520492554,0.8083158135414124
run5,0.7961726188659668,0.7349806427955627,0.7798269987106323,0.7641030550003052
run6,0.8102434873580933,0.7726558446884155,0.801989734172821,0.7593650817871094
run7,0.7521581053733826,0.7951667308807373,0.8496341705322266,0.7915849089622498
run8,0.7143754959106445,0.7041010856628418,0.7209471464157104,0.726884126663208
run9,0.7597910165786743,0.7531479597091675,0.6835409998893738,0.6527174711227417
r2_test_mean,0.7843193292617798,0.7518160283565521,0.7627162158489227,0.7438308358192444
r2_test_max,0.8757997155189514,0.8321276903152466,0.8836776614189148,0.8384445905685425
r2_test_min,0.7129738330841064,0.6726841330528259,0.6835409998893738,0.5498560667037964
r2_test_std,0.047994138144352744,0.04323545270779204,0.06491411138851683,0.0808396627860543
