source,AI,AI2,Human,Random
target,Yield_CO_s,Yield_CO_s,Yield_CO_s,Yield_CO_s
run0,12.828721046447754,15.434554100036621,16.423553466796875,13.354805946350098
run1,11.252696990966797,11.627420425415039,10.698503494262695,9.856895446777344
run2,22.762842178344727,23.8915958404541,18.041122436523438,17.334077835083008
run3,8.820178985595703,10.66015911102295,13.628307342529297,8.506881713867188
run4,20.16471290588379,20.587081909179688,17.032133102416992,16.692625045776367
run5,13.601326942443848,15.678224563598633,13.441771507263184,11.7064208984375
run6,12.358952522277832,15.946081161499023,13.248299598693848,13.39844036102295
run7,12.696733474731445,14.711463928222656,14.22093391418457,12.91296672821045
run8,11.499768257141113,12.870763778686523,13.668564796447754,11.572330474853516
run9,11.541579246520996,14.40932846069336,13.526766777038574,9.907784461975098
rmse_test_mean,13.752751350402832,15.581666946411133,14.392995834350586,12.524321556091309
rmse_test_max,22.762842178344727,23.8915958404541,18.041122436523438,17.334077835083008
rmse_test_min,8.820178985595703,10.66015911102295,10.698503494262695,8.506881713867188
rmse_test_std,4.083813667297363,3.7896015644073486,2.053070306777954,2.716428518295288
