SMILES,ABCGG,AATSC3d,ATSC3d,GGI10,ATSC4i,BCUTp-1l,Kier3,AATS8p,Kier2,fr_NH0,VSA_EState3,Kappa3,Kappa2,PEOE_VSA6,BertzCT,EState_VSA3
Fc1ccc(N(c2ccc(F)cc2)c2ccc(-c3nc4ccccc4o3)cc2)cc1,17.4274281961228,-0.0516453465964358,-5.31947069943289,0.188556269768391,34.05515142003652,0.5450368903072399,5.0101775147929,1.1869672913527058,9.868055555555555,2,0.0,3.415256663892607,7.4438099193646545,12.13273413692322,1215.595620563782,5.890723922025908
c1ccc2oc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)nc2c1,16.41265189631293,-0.0598363312267055,-6.103305785123964,0.1624405672890521,21.509912026256448,0.7502129247333995,3.3525094227335845,1.2579321775583625,7.921875,2,2.529865489915996,2.197366200408173,5.826892966298104,48.53093654769288,1368.84055989701,5.890723922025908
Cc1ccc2c(c1)c1cc(C)ccc1n2-c1ccc(-c2nc3ccccc3o2)cc1,17.484549114342183,-0.0231578947368421,-2.640000000000001,0.228556269768391,27.82641966242266,0.7502119393681521,3.7632,1.2818694172881515,8.408284023668639,2,2.577272897323403,2.556638454977928,6.326735474228707,35.392371257240434,1459.3452372369516,5.890723922025908
Fc1ccc2c(c1)c1cc(F)ccc1n2-c1ccc(-c2nc3ccccc3o2)cc1,17.484549114342183,-0.0452114730189596,-4.611570247933887,0.228556269768391,13.257834129237729,0.5450362950794159,3.7632,1.2409369244700437,8.408284023668639,2,1.347272897323403,2.521078519617991,6.255104936957479,12.13273413692322,1469.630795050997,16.6631723509555
c1cc(N2CCOCC2)ccc1-c1ccc2c(ccc3cc(-c4ccc(N5CCOCC5)cc4)ccc32)c1,18.14969438948736,-0.1003306350473149,-17.959183673469383,0.255484134272013,-29.34648032361284,0.7786859487363248,5.992865636147443,1.638521336713724,12.474505723204995,2,5.139392753007611,4.5088215645141565,10.127312098751233,60.6636706846161,1444.891718447907,0.0
c1cc(N2CCOCC2)ccc1-c1nc2cc3sc(-c4ccc(N5CCOCC5)cc4)nc3cc2s1,18.22486054857072,-0.0588170435046275,-8.881373569198754,0.1697908376696255,-21.021720113064703,0.778685948736268,5.406462585034014,1.853976191635077,11.238888888888887,4,2.1020472549089773,4.239782432939117,9.44210255965156,0.0,1336.6960834601966,0.0
c1cc(N2CCOCC2)ccc1-c1nc2cc3oc(-c4ccc(N5CCOCC5)cc4)nc3cc2o1,18.22486054857072,-0.0588170435046275,-8.881373569198754,0.1697908376696255,-9.511306593198729,0.7495292144405207,5.406462585034014,1.3614876139647474,11.238888888888887,4,0.0,3.97883406542707,8.964254928726701,0.0,1332.6960834601966,22.9474881273363
c1cc(N2CCOCC2)ccc1-c1cc2cc3oc(-c4ccc(N5CCOCC5)cc4)cc3cc2o1,18.22486054857072,-0.0790094339622641,-12.5625,0.1697908376696255,-22.15779152325949,0.7503117869823487,5.406462585034014,1.464442338088808,11.238888888888887,2,2.080224371870365,4.021788764139272,9.0433088945502,0.0,1326.095303409554,0.0
c1nc2c(-c3ccc(N4CCOCC4)cc3)c3scnc3c(-c3ccc(N4CCOCC4)cc3)c2s1,20.69560630560509,-0.0192955737332111,-2.913631633714884,0.225707580859096,-12.904815256530618,0.7786859487363051,4.926136363636363,1.792372300459379,11.238888888888887,4,0.0,3.849954195793035,9.44210255965156,24.26546827384644,1336.6960834601964,0.0
c1nc2c(-c3ccc(N4CCOCC4)cc3)c3ocnc3c(-c3ccc(N4CCOCC4)cc3)c2o1,20.69560630560509,-0.0192955737332111,-2.913631633714884,0.225707580859096,-24.94427685153504,0.7498375933895028,4.926136363636363,1.5962645109856948,11.238888888888887,4,0.0,3.609434630101823,8.964254928726701,24.26546827384644,1332.6960834601964,11.166040283284485
c1nc2c(-c3ccc(N4CCOCC4)cc3)c3nc[nH]c3c(-c3ccc(N4CCOCC4)cc3)c2[nH]1,20.69560630560509,-0.0286949685534591,-4.5625,0.225707580859096,-34.11148285354784,0.7786859487363054,4.926136363636363,1.5511053726508446,11.238888888888887,4,0.0,3.609434630101823,8.964254928726701,24.26546827384644,1331.1863084558695,0.0
c1cc2c(-c3ccc(N4CCOCC4)cc3)c3occc3c(-c3ccc(N4CCOCC4)cc3)c2o1,20.69560630560509,-0.0286949685534591,-4.5625,0.225707580859096,-11.981821881434511,0.7505964154289085,4.926136363636363,1.5745554697382234,11.238888888888887,2,2.118200581018041,3.649006673983733,9.0433088945502,24.26546827384644,1326.0953034095537,0.0
O=S1(=O)c2cc(-c3ccc(N4CCOCC4)cc3)ccc2-c2ccc(-c3ccc(N4CCOCC4)cc3)cc21,20.321813380103244,-0.1063513932053869,-18.82419659735349,0.3701703907764514,-28.711814839885545,0.7612216260254067,5.573562698053418,1.6661738997217392,11.942607897153351,2,0.0,4.403712902140083,9.82755543537047,48.53093654769288,1503.2818839055628,9.79096695103555
c1cc(N2CCOCC2)ccc1-c1cc2c(cn1)-c1cnc(-c3ccc(N4CCOCC4)cc3)cc1[SiH2]2,18.47389835810813,-0.1097541524910991,-18.54845177099576,0.2379389858177736,-58.87694384605295,0.7786859487362452,5.626825310978908,1.6370140653100185,11.851652781510346,4,2.914576223722217,4.434564345635856,9.740278331057905,34.63891956522136,1303.952706029431,0.0
O=P(c1ccccc1)(c1ccc(-c2ccc(N3CCOCC3)cc2)cc1)c1ccc(-c2ccc(N3CCOCC3)cc2)cc1,22.16526885527389,-0.1113646417671309,-22.829751562261848,0.3293541475359657,-23.742544439286004,0.7786859487363241,7.530612244897959,1.694141031513621,15.48,2,2.504842531503926,5.8354226172246335,12.835453929082288,103.1282401638474,1600.421291413487,0.0
Fc1c(F)c(-c2ccc(N3CCOCC3)cc2)c(F)c(F)c1-c1ccc(N2CCOCC2)cc1,19.06919161066276,-0.0820451843043994,-11.896551724137924,0.2971125395367819,-56.17044541473307,0.5433190534080701,5.49584487534626,1.6518460917948716,11.588477366255145,2,0.0,4.233028501752781,9.638985105044366,24.26546827384644,1035.408403948529,52.606553481701965
