source,zinc_50572
target,Yield_CN
run0,28.374509811401367
run1,29.073726654052734
run2,36.6425666809082
run3,30.210325241088867
run4,39.17035675048828
run5,33.859527587890625
run6,32.59019470214844
run7,31.696638107299805
run8,36.30754852294922
run9,30.439218521118164
rmse_test_mean,32.83646011352539
rmse_test_max,39.17035675048828
rmse_test_min,28.374509811401367
rmse_test_std,3.4025015830993652
