SMILES,Yield_CO_s,Yield_CO_l,Yield_CO_cl
O=C(C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=C(C=C4)N(C5=CC=CC=C5)C6=CC=CC=C6,1,39,27
O=C(C1=CC=C(N(C2=CC=C(C=C2)C(C)(C)C)C3=CC=C(C=C3)C(C)(C)C)C=C1)C4=CC=C(N(C5=CC=C(C=C5)C(C)(C)C)C6=CC=C(C=C6)C(C)(C)C)C=C4,2,36,30
O=C(C1=CC=C(N(C2=CC=C(C=C2)C)C3=CC=C(C=C3)C)C=C1)C4=CC=C(N(C5=CC=C(C=C5)C)C6=CC=C(C=C6)C)C=C4,0,29,25
ClC(C=C1)=CC=C1N(C2=CC=C(C=C2)Cl)C(C=C3)=CC=C3C(C4=CC=C(N(C5=CC=C(C=C5)Cl)C6=CC=C(C=C6)Cl)C=C4)=O,1,34,22
BrC(C=C1)=CC=C1N(C2=CC=C(C=C2)Br)C(C=C3)=CC=C3C(C4=CC=C(N(C5=CC=C(C=C5)Br)C6=CC=C(C=C6)Br)C=C4)=O,1,40,19
O=C(C1=CC=C(N(C2=CC=C(C3=CC=CC=C3)C=C2)C4=CC=C(C5=CC=CC=C5)C=C4)C=C1)C6=CC=C(N(C7=CC=C(C8=CC=CC=C8)C=C7)C9=CC=C(C%10=CC=CC=C%10)C=C9)C=C6,3,57,29
N#CC(C=C(N1C(C=CC=C2)=C2C3=C1C=CC=C3)C(N4C(C=CC=C5)=C5C6=C4C=CC=C6)=C7)=C7C#N,23,92,40
N#CC(C=C(N1C(C=CC(C(C)(C)C)=C2)=C2C3=C1C=CC(C(C)(C)C)=C3)C(N4C(C=CC(C(C)(C)C)=C5)=C5C6=C4C=CC(C(C)(C)C)=C6)=C7)=C7C#N,82,92,37
ClC(C=C1)=CC2=C1N(C3=C2C=C(Cl)C=C3)C(C(N4C(C=CC(Cl)=C5)=C5C6=C4C=CC(Cl)=C6)=C7)=CC(C#N)=C7C#N,7,84,30
CC(C(C=C1)=CC=C1N(C2=CC=C(C=C2)C(C)(C)C)C3=C4C(C=CC=C4)=CC=C3)(C)C,0,31,9
C1(N2C(C=CC=C3)=C3OC4=C2C=CC=C4)=C(C=CC=C5)C5=CC=C1,5,62,9
C1(N2C(C=CC(C3=CC=C(C4=CC=CC=C4)C=C3)=C5)=C5OC6=C2C=CC(C7=CC=C(C8=CC=CC=C8)C=C7)=C6)=C(C=CC=C9)C9=CC=C1,3,51,18
C1(N2C(C=CC=C3)=C3SC4=C2C=CC=C4)=C(C=CC=C5)C5=CC=C1,3,61,18
C1(N2C(C=CC(C3=CC=C(C4=CC=CC=C4)C=C3)=C5)=C5SC6=C2C=CC(C7=CC=C(C8=CC=CC=C8)C=C7)=C6)=C(C=CC=C9)C9=CC=C1,10,69,14
FC(C(C=C1)=CC=C1C2=CC(SC3=C4C=CC(C5=CC=C(C=C5)C(F)(F)F)=C3)=C(C=C2)N4C6=C(C=CC=C7)C7=CC=C6)(F)F,11,68,21
C1(N(C2=CC=CC=C2)C3=CC=CC=C3)=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C1,0,34,15
C1(N(C2=CC=CC=C2)C3=CC=CC=C3)=C(C=CC=C4)C4=C(N(C5=CC=CC=C5)C6=CC=CC=C6)C=C1,0,38,24
CC(C(C=C1)=CC=C1N(C2=CC=C(C=C2)C(C)(C)C)C3=C4C(C=CC=C4)=C(N(C5=CC=C(C=C5)C(C)(C)C)C6=CC=C(C=C6)C(C)(C)C)C=C3)(C)C,2,35,22
CC(C=C1)=CC=C1N(C2=CC=C(C=C2)C)C3=C4C(C=CC=C4)=C(N(C5=CC=C(C=C5)C)C6=CC=C(C=C6)C)C=C3,0,24,12
C1(C=CC=C2)=C2C(N(C3=CC=CC=C3)C4=CC=CC=C4)=C(C=CC=C5)C5=C1N(C6=CC=CC=C6)C7=CC=CC=C7,4,75,43
CC(C(C=C1)=CC=C1N(C2=CC=C(C=C2)C(C)(C)C)C3=C4C(C=CC=C4)=C(N(C5=CC=C(C=C5)C(C)(C)C)C6=CC=C(C=C6)C(C)(C)C)C7=C3C=CC=C7)(C)C,0,57,28
CC(C=C1)=CC=C1N(C2=CC=C(C=C2)C)C3=C4C(C=CC=C4)=C(N(C5=CC=C(C=C5)C)C6=CC=C(C=C6)C)C7=C3C=CC=C7,1,57,34
COC(C=C1)=CC=C1N(C2=CC=C(C=C2)OC)C3=C4C(C=CC=C4)=C(N(C5=CC=C(C=C5)OC)C6=CC=C(C=C6)OC)C7=C3C=CC=C7,0,9,1
O=[N+](C1=C(N2C(C=CC=C3)=C3C4=C2C=CC=C4)C=C(N5C(C=CC=C6)=C6C7=C5C=CC=C7)C=C1N8C(C=CC=C9)=C9C%10=C8C=CC=C%10)[O-],0,0,0
O=[N+](C(C(N(C1=CC=CC=C1)C2=CC=CC=C2)=CC(N(C3=CC=CC=C3)C4=CC=CC=C4)=C5)=C5N(C6=CC=CC=C6)C7=CC=CC=C7)[O-],0,15,0
CC(C=C1)=CC=C1N(C2=CC=C(C)C=C2)C3=C(C(N(C4=CC=C(C)C=C4)C5=CC=C(C)C=C5)=CC(N(C6=CC=C(C)C=C6)C7=CC=C(C)C=C7)=C3)[N+]([O-])=O,0,0,0
BrC(C=C1)=CC=C1N(C2=CC=C(Br)C=C2)C3=C(C(N(C4=CC=C(Br)C=C4)C5=CC=C(Br)C=C5)=CC(N(C6=CC=C(Br)C=C6)C7=CC=C(Br)C=C7)=C3)[N+]([O-])=O,0,52,9
O=C1C2=C(C=CC(N3C(C=CC=C4)=C4C5=C3C=CC=C5)=C2)C(C6=CC(N7C(C=CC=C8)=C8C9=C7C=CC=C9)=CC=C61)=O,0,0,0
O=C1C2=C(C=CC(N(C3=CC=CC=C3)C4=CC=CC=C4)=C2)C(C5=CC(N(C6=CC=CC=C6)C7=CC=CC=C7)=CC=C51)=O,0,0,0
O=S(C(C=C1)=CC=C1N(C2=CC=CC=C2)C3=CC=CC=C3)(C4=CC=C(C=C4)N(C5=CC=CC=C5)C6=CC=CC=C6)=O,0,1,0
O=S(C1=CC=C(N(C2=CC=C(C=C2)C(C)(C)C)C3=CC=C(C=C3)C(C)(C)C)C=C1)(C4=CC=C(N(C5=CC=C(C=C5)C(C)(C)C)C6=CC=C(C=C6)C(C)(C)C)C=C4)=O,0,28,21
O=S(C1=CC=C(N(C2=CC=C(C=C2)C)C3=CC=C(C=C3)C)C=C1)(C4=CC=C(N(C5=CC=C(C=C5)C)C6=CC=C(C=C6)C)C=C4)=O,0,22,13
FC(C(C=C1)=CC=C1N2C3=CC=CC=C3N(C4=CC=C(C=C4)C(F)(F)F)C5=C2C=CC=C5)(F)F,0,14,3
COC(C=C1)=CC=C1N2C3=C(C=CC=C3)N(C4=CC=C(C=C4)OC)C5=CC=CC=C52,0,0,0
C12=CC=CC=C1N(C3=CC=C(C=CC=C4)C4=C3)C5=C(C=CC=C5)N2C6=CC=C(C=CC=C7)C7=C6,0,3,0
FC(C(N(C1=CC=CC=C1)C2=CC=CC=C2)=C(F)C(N(C3=CC=CC=C3)C4=CC=CC=C4)=C5C#N)=C5N(C6=CC=CC=C6)C7=CC=CC=C7,36,52,46
N#CC1=C(N2C(C=CC=C3)=C3C4=C2C=CC=C4)C(N5C(C=CC=C6)=C6C7=C5C=CC=C7)=C(N8C(C=CC=C9)=C9C%10=C8C=CC=C%10)C(N%11C(C=CC=C%12)=C%12C%13=C%11C=CC=C%13)=C1N%14C(C=CC=C%15)=C%15C%16=C%14C=CC=C%16,42,87,54
O=C(C(C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=CC=C3)=O)C4=CC=C(C=C4)N(C5=CC=CC=C5)C6=CC=CC=C6,0,12,24
C1(C2=NC3=C(C=CC=C3)S2)=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C1,0,48,21
C12=CC=CC=C1N(C3=CC=CC=C3)C4=C(C=CC=C4)O2,0,0,10
C12=CC=CC=C1N(C3=CC=CC=C3)C4=C(C=CC=C4)S2,0,44,22
C1(C=CC=C2)=C2C=C(SC(C=CC=C3)=C3N4C5=CC=CC=C5)C4=C1,12,70,40
C12=CC=CC=C1C(C3=CC=CC=C3)=C4C(C=CC=C4)=C2C5=CC=CC=C5,0,0,7
COC(C=C1)=CC=C1C2=C3C(C=CC=C3)=C(C4=CC=C(C=C4)OC)C5=CC=CC=C52,0,4,12
C1(C2=C3C4=CC=CC3=CC=C2)=C(C4=CC=C5)C5=CC=C1,0,0,19
N#CC1=C2C(C=CC=C2)=C(C3=CC=CC=C31)C#N,0,5,2
O=C(N(C1=CC(C)=CC(C)=C1)C2=O)C3=CC=C4C5=C(C6=C7C4=CC=C8C7=C(C(N(C9=CC(C)=CC(C)=C9)C8=O)=O)C=C6)C=CC2=C53,0,0,0
O=C(N(C1=CC=CC=C1)C2=O)C3=C(C2=CC=C4C(N(C5=CC=CC=C5)C6=O)=O)C4=C6C=C3,0,0,0
CN(C1=CC=C(C2=CC(C3=CC=C(C=C3)N(C)C)=CC(C4=CC=C(C=C4)N(C)C)=C2)C=C1)C,0,15,5
C1(C2=CC(C3=CC=C(C=C3)N(C4=CC=CC=C4)C5=CC=CC=C5)=CC(C6=CC=C(C=C6)N(C7=CC=CC=C7)C8=CC=CC=C8)=C2)=CC=C(C=C1)N(C9=CC=CC=C9)C%10=CC=CC=C%10,0,36,17
CN(C)C1=CC=C2C(OC(C=C2C(F)(F)F)=O)=C1,0,0,4
O=C1OC2=C3C(N(CCC3)CCC4)=C4C=C2C=C1C#N,0,1,2
O=C1OC2=C3C(N(CCC3)CCC4)=C4C=C2C=C1S(=O)(C)=O,0,2,0
O=C1C(O)=CC(C(OC2=C3C=C(O)C(O)=C2)=C1)=C3C4=CC=CC=C4,0,0,0
O=C1C=CC2=NC3=C(C=C(O)C=C3)OC2=C1,0,0,1
O=C1C2=C(C=CC=C2)C3=C1C=CC=C3,0,0,15
O=C1C2=CC=CC=C2C3=C(C=CC=C3)C1=O,0,0,0
O=C(C1=CC=CC=C1)C2=CC(C(C3=CC=CC=C3)=O)=CC(C(C4=CC=CC=C4)=O)=C2,0,0,2
O=C1C2=C(C=CC(Cl)=C2)SC3=C1C=CC=C3,0,51,20
O=C(C1=C2C=CC=C1)C3=C(C=CC=C3)C2=O,0,0,0
F[B-](N(C(C)=C1)C2=C1C)(F)[N+](C(C(C)=C3)=C2C)=C3C,0,0,0
F[B-](N(C(C)=C1CC)C2=C1C)(F)[N+](C(C(C)=C3CC)=C2C)=C3C,0,0,0
F[B-](N(C(C)=C1C)C2=C1C)(F)[N+](C(C(C)=C3C)=C2C#N)=C3C,0,0,0
C1(C2=CC=CC=C2)=CC(C3=CC=CC=C3)=CC(C4=CC=CC=C4)=[O+]1,0,0,0
CC(C=C1)=CC=C1C2=CC(C3=CC=C(C=C3)C)=CC(C4=CC=C(C=C4)C)=[O+]2,0,0,0
COC(C=C1)=CC=C1C2=CC(C3=CC=C(C=C3)OC)=CC(C4=CC=C(C=C4)OC)=[O+]2,0,0,1
C[N+]1=C(C=CC=C2)C2=CC3=CC=CC=C31,0,0,0
C[N+]1=C(C=CC=C2)C2=C(C3=CC=CC=C3)C4=CC=CC=C41,0,0,0
C[N+]1=C(C=CC=C2)C2=C(C3=C(C=C(C=C3C)C)C)C4=CC=CC=C41,0,0,0
CC1=CC(C)=CC(C)=C1C2=C3C(C=C(C=C3)C(C)(C)C)=[N+](C4=CC=CC=C4)C5=CC(C(C)(C)C)=CC=C52,0,0,0
