SMILES,Yield_CO_s,Yield_CO_l,Yield_CO_cl,Yield_CA,Yield_CS,Yield_CN
BrC(C=C1)=CC=C1N(C2=CC=C(Br)C=C2)C(C(C#N)=C(N(C3=CC=C(Br)C=C3)C4=CC=C(Br)C=C4)C(N(C5=CC=C(Br)C=C5)C6=CC=C(Br)C=C6)=C7N(C8=CC=C(Br)C=C8)C9=CC=C(Br)C=C9)=C7C#N,92,92,58,74,99,97
ClC1=C(N2C(C=CC=C3)=C3C4=C2C=CC=C4)C(C#N)=C(N5C(C=CC=C6)=C6C7=C5C=CC=C7)C(C#N)=C1N8C(C=CC=C9)=C9C%10=C8C=CC=C%10,31,92,34,75,63,50
ClC1=C(N2C(C=CC(C(C)(C)C)=C3)=C3C4=C2C=CC(C(C)(C)C)=C4)C(C#N)=C(N5C(C=CC(C(C)(C)C)=C6)=C6C7=C5C=CC(C(C)(C)C)=C7)C(C#N)=C1N8C(C=CC(C(C)(C)C)=C9)=C9C%10=C8C=CC(C(C)(C)C)=C%10,70,89,55,49,56,76
ClC1=C(N2C(C=CC(OC)=C3)=C3C4=C2C=CC(OC)=C4)C(C#N)=C(N5C(C=CC(OC)=C6)=C6C7=C5C=CC(OC)=C7)C(C#N)=C1N8C(C=CC(OC)=C9)=C9C%10=C8C=CC(OC)=C%10,5,85,27,0,0,35
N#CC1=C(C(N2C(C=CC=C3)=C3C4=C2C=CC=C4)=C(N5C(C=CC=C6)=C6C7=C5C=CC=C7)C(N8C(C=CC=C9)=C9C%10=C8C=CC=C%10)=C1N%11C(C=CC=C%12)=C%12C%13=C%11C=CC=C%13)C#N,51,89,33,58,54,63
N#CC(C(N(C1=CC=CC=C1)C2=CC=CC=C2)=C(C(N(C3=CC=CC=C3)C4=CC=CC=C4)=C5N(C6=CC=CC=C6)C7=CC=CC=C7)N(C8=CC=CC=C8)C9=CC=CC=C9)=C5C#N,91,91,40,6,4,49
N#CC(C(N1C(C=CC=C2)=C2C3=C1C=CC=C3)=C4N5C(C=CC=C6)=C6C7=C5C=CC=C7)=C(N8C(C=CC=C9)=C9C%10=C8C=CC=C%10)C(N%11C(C=CC=C%12)=C%12C%13=C%11C=CC=C%13)=C4C#N,0,75,42,13,9,10
N#CC(C(N(C1=CC=CC=C1)C2=CC=CC=C2)=C(C(C#N)=C3N(C4=CC=CC=C4)C5=CC=CC=C5)N(C6=CC=CC=C6)C7=CC=CC=C7)=C3N(C8=CC=CC=C8)C9=CC=CC=C9,93,93,60,2,13,98
C1(C2=CC=CC=C2)=NC(C3=CC=CC=C3)=NC(C4=CC=C(N5C(C=CC=C6)=C6C7=C5C=CC=C7)C=C4)=N1,16,79,33,1,0,7
CC(C1=CC(C2=C3C=CC(C(C)(C)C)=C2)=C(C=C1)N3C(C=C4)=CC=C4C5=NC(C6=CC=CC=C6)=NC(C7=CC=CC=C7)=N5)(C)C,53,86,38,6,95,92
C1(C2=CC=CC=C2)=NC(C3=CC=CC=C3)=NC(C4=CC=C(C=C4)N(C5=CC=CC=C5)C6=CC=CC=C6)=N1,21,80,34,34,94,99
CC(C(C=C1)=CC=C1N(C2=CC=C(C=C2)C(C)(C)C)C(C=C3)=CC=C3C4=NC(C5=CC=CC=C5)=NC(C6=CC=CC=C6)=N4)(C)C,16,73,30,39,97,82
ClC(C=C1)=CC=C1N(C2=CC=C(Cl)C=C2)C(C=C3)=CC=C3C4=NC(C5=CC=CC=C5)=NC(C6=CC=CC=C6)=N4,46,80,35,11,98,99
BrC(C=C1)=CC=C1N(C2=CC=C(Br)C=C2)C(C=C3)=CC=C3C4=NC(C5=CC=CC=C5)=NC(C6=CC=CC=C6)=N4,42,85,32,24,97,97
COC(C=C1)=CC=C1N(C2=CC=C(C=C2)OC)C(C=C3)=CC=C3C4=NC(C5=CC=CC=C5)=NC(C6=CC=CC=C6)=N4,2,59,30,12,32,4
C1(C2=CC=CC=C2)=NC(C3=CC=CC=C3)=NC(C4=CC=C(N(C5=CC=C(C6=CC=CC=C6)C=C5)C7=CC=C(C8=CC=CC=C8)C=C7)C=C4)=N1,38,79,34,26,97,85
