source,AI+Human
target,Yield_CO_s
run0,0.7239904403686523
run1,0.6213288307189941
run2,0.6267015933990479
run3,0.8678828477859497
run4,0.6754497289657593
run5,0.7532777786254883
run6,0.7473270297050476
run7,0.7395339608192444
run8,0.7584763765335083
run9,0.7216361165046692
r2_test_mean,0.7235604703426362
r2_test_max,0.8678828477859497
r2_test_min,0.6213288307189941
r2_test_std,0.06775150988737633
