,source,target,r2_train_mean,r2_train_std,r2_test_mean,r2_test_std
0,AI,Yield_CO,0.9784734189510346,0.00976377367681623,0.7070173978805542,0.09924757831799892
1,AI2,Yield_CO,0.9801267087459564,0.008966120511264062,0.6743035554885864,0.14360562210672428
2,Human,Yield_CO,0.9700648069381714,0.02282179758495816,0.7385318040847778,0.0352139671508482
3,Random,Yield_CO,0.9802981674671173,0.007861171300800883,0.7997483968734741,0.05463515917185786
