source,AI+AI2,AI+Human,AI+Random,AI2+Human,AI2+Random,Random+Human
target,Yield_CO_l,Yield_CO_l,Yield_CO_l,Yield_CO_l,Yield_CO_l,Yield_CO_l
run0,0.7742974758148193,0.808153510093689,0.7637271881103516,0.8291352987289429,0.7752962708473206,0.7391372919082642
run1,0.6720162630081177,0.7330370545387268,0.6685082912445068,0.7830606698989868,0.6728187203407288,0.6052696704864502
run2,0.7377996444702148,0.8030886650085449,0.7735469341278076,0.7953675389289856,0.7504608631134033,0.7923596501350403
run3,0.7932778596878052,0.7868726253509521,0.8093984127044678,0.8439950346946716,0.8222894072532654,0.8115323185920715
run4,0.8366804718971252,0.8069930076599121,0.8368289470672607,0.8290684223175049,0.8462895154953003,0.7997196912765503
run5,0.6440847516059875,0.7473111152648926,0.7622705698013306,0.7755679488182068,0.752407431602478,0.7665583491325378
run6,0.7196884155273438,0.6250789165496826,0.7349663972854614,0.7685825228691101,0.7837867140769958,0.7414591312408447
run7,0.7107949256896973,0.835583508014679,0.7496480941772461,0.8519245386123657,0.7746403217315674,0.8484155535697937
run8,0.6210682392120361,0.7886858582496643,0.6298220753669739,0.8017268180847168,0.7621557116508484,0.7456502318382263
run9,0.7093467712402344,0.7510539293289185,0.7937250733375549,0.7854474186897278,0.7635610103607178,0.7472858428955078
r2_test_mean,0.7219054818153381,0.7685858190059662,0.7522441983222962,0.8063876211643219,0.7703705966472626,0.7597387731075287
r2_test_max,0.8366804718971252,0.835583508014679,0.8368289470672607,0.8519245386123657,0.8462895154953003,0.8484155535697937
r2_test_min,0.6210682392120361,0.6250789165496826,0.6298220753669739,0.7685825228691101,0.6728187203407288,0.6052696704864502
r2_test_std,0.06345399188718542,0.05663585064220321,0.0592724060205588,0.02832787615073206,0.043624564546760704,0.061828858363030224
