source,AI+AI2,AI+Human,AI+Random,AI2+Human,AI2+Random,Random+Human
target,Yield_CO_l,Yield_CO_l,Yield_CO_l,Yield_CO_l,Yield_CO_l,Yield_CO_l
run0,17.207719802856445,15.864704132080078,17.60605239868164,14.972049713134766,17.16960334777832,18.499547958374023
run1,18.849637985229492,17.00600814819336,18.95017433166504,15.330137252807617,18.82656478881836,20.678884506225586
run2,19.809587478637695,17.166988372802734,18.409748077392578,17.500322341918945,19.325380325317383,17.62847137451172
run3,16.039697647094727,16.286296844482422,15.401602745056152,13.933874130249023,14.87165641784668,15.315145492553711
run4,15.00200366973877,16.308603286743164,14.995182037353516,15.347631454467773,14.553983688354492,16.613046646118164
run5,20.68027114868164,17.425128936767578,16.901466369628906,16.421974182128906,17.248516082763672,16.748353958129883
run6,18.341798782348633,21.212474822998047,17.834949493408203,16.665544509887695,16.10877799987793,17.615137100219727
run7,19.843570709228516,14.961997032165527,18.462574005126953,14.199021339416504,17.51680564880371,14.3662748336792
run8,22.03948974609375,16.458314895629883,21.783432006835938,15.942375183105469,17.46092987060547,18.056631088256836
run9,17.83249855041504,16.5035457611084,15.02269458770752,15.321155548095703,16.083633422851562,16.62797737121582
rmse_test_mean,18.56462860107422,16.91940689086914,17.536787033081055,15.563407897949219,16.916584014892578,17.214946746826172
rmse_test_max,22.03948974609375,21.212474822998047,21.783432006835938,17.500322341918945,19.325380325317383,20.678884506225586
rmse_test_min,15.00200366973877,14.961997032165527,14.995182037353516,13.933874130249023,14.553983688354492,14.3662748336792
rmse_test_std,2.0325326919555664,1.5766512155532837,1.9871476888656616,1.0427556037902832,1.4625685214996338,1.653401255607605
