source,AI+AI2,AI+Human,AI+Random,AI2+Human,AI2+Random,Random+Human
target,Yield_CO_cl,Yield_CO_cl,Yield_CO_cl,Yield_CO_cl,Yield_CO_cl,Yield_CO_cl
run0,0.7135180234909058,0.6699925661087036,0.6948500871658325,0.7372605800628662,0.681901752948761,0.5586051940917969
run1,0.6470056772232056,0.6967848539352417,0.687387228012085,0.8153228759765625,0.7016387581825256,0.6614036560058594
run2,0.6119964122772217,0.665999174118042,0.6314007043838501,0.7588351368904114,0.625440239906311,0.6509706974029541
run3,0.7655407190322876,0.7724092602729797,0.7371366024017334,0.7909914255142212,0.7636963129043579,0.7766405344009399
run4,0.7873477339744568,0.8178215622901917,0.773023247718811,0.8496804237365723,0.7984977960586548,0.7875686287879944
run5,0.7193310856819153,0.7442586421966553,0.6718103289604187,0.7761499881744385,0.7367472052574158,0.7281699776649475
run6,0.7046862840652466,0.6788745522499084,0.7157993912696838,0.7965940833091736,0.7091530561447144,0.7689930200576782
run7,0.6995401382446289,0.7315706014633179,0.6268340945243835,0.7519670128822327,0.676871657371521,0.7233446836471558
run8,0.41002899408340454,0.49847525358200073,0.3965693712234497,0.6540971398353577,0.5129776000976562,0.551689624786377
run9,0.5830554962158203,0.5786001086235046,0.6791993379592896,0.7329497337341309,0.5684696435928345,0.6610106825828552
r2_test_mean,0.6642050564289093,0.6854786574840546,0.6614010393619537,0.7663848400115967,0.6775394022464752,0.6868396699428558
r2_test_max,0.7873477339744568,0.8178215622901917,0.773023247718811,0.8496804237365723,0.7984977960586548,0.7875686287879944
r2_test_min,0.41002899408340454,0.49847525358200073,0.3965693712234497,0.6540971398353577,0.5129776000976562,0.551689624786377
r2_test_std,0.10392461889722983,0.08822422508375684,0.09777757072220966,0.05077997085279883,0.08297608690284819,0.08081511479370415
