source,AI,AI2,Human,Random
target,Yield_CA,Yield_CA,Yield_CA,Yield_CA
run0,-0.11260020732879639,-0.24438858032226562,-0.29493796825408936,-0.22993969917297363
run1,0.503872811794281,0.49740779399871826,0.2980494499206543,0.45675283670425415
run2,0.3937632441520691,0.2694239616394043,0.313853919506073,0.32483798265457153
run3,0.20024561882019043,0.16289007663726807,0.1477988362312317,0.09337544441223145
run4,0.1406923532485962,0.0473785400390625,0.20432007312774658,0.1675460934638977
run5,0.3563723564147949,0.457467257976532,0.41416388750076294,0.4423140287399292
run6,0.1901935338973999,0.2761726379394531,0.2911909818649292,0.20344841480255127
run7,0.45610135793685913,0.46815991401672363,0.49078214168548584,0.3326740264892578
run8,0.04767775535583496,0.17169052362442017,0.24705654382705688,0.1785830855369568
run9,0.1950194239616394,0.05264854431152344,-0.08187472820281982,0.17671102285385132
r2_test_mean,0.23713382482528686,0.21588506698608398,0.20304031372070314,0.21463032364845275
r2_test_max,0.503872811794281,0.49740779399871826,0.49078214168548584,0.45675283670425415
r2_test_min,-0.11260020732879639,-0.24438858032226562,-0.29493796825408936,-0.22993969917297363
r2_test_std,0.1818497392081434,0.21895540019717316,0.2214938130093147,0.18814029665980098
