source,AI,AI2,Human,Random
target,Yield_CS,Yield_CS,Yield_CS,Yield_CS
run0,29.67609405517578,31.003915786743164,30.73772621154785,31.093997955322266
run1,25.002378463745117,26.594369888305664,26.73259735107422,27.791696548461914
run2,35.91245651245117,37.75041961669922,35.50640869140625,37.80122756958008
run3,28.789453506469727,29.71251678466797,31.73472785949707,29.821704864501953
run4,30.437353134155273,34.410301208496094,34.778900146484375,30.241540908813477
run5,41.88327407836914,42.8206672668457,43.87710952758789,42.26176834106445
run6,34.14610290527344,32.770286560058594,34.2481575012207,32.941322326660156
run7,28.97084617614746,28.401649475097656,27.228981018066406,27.608909606933594
run8,28.473676681518555,32.64860916137695,30.045650482177734,30.387845993041992
run9,28.129743576049805,31.722169876098633,29.001422882080078,29.670989990234375
rmse_test_mean,31.142135620117188,32.78348922729492,32.38916778564453,31.962100982666016
rmse_test_max,41.88327407836914,42.8206672668457,43.87710952758789,42.26176834106445
rmse_test_min,25.002378463745117,26.594369888305664,26.73259735107422,27.608909606933594
rmse_test_std,4.625356674194336,4.464416027069092,4.7917160987854,4.3988938331604
