,source,target,r2_train_mean,r2_train_std,r2_test_mean,r2_test_std
0,aats8p,Yield_CO,0.9848314166069031,0.007368363099018479,0.698053503036499,0.12293614559961641
1,atsc4i,Yield_CO,0.978930801153183,0.016205460830507466,0.6759638965129853,0.06491505955033976
2,bcutp1l,Yield_CO,0.776101154088974,0.06612864360635207,0.5109004557132721,0.13395193871652544
3,bertzct,Yield_CO,0.9802981674671173,0.007861171300800883,0.7997483968734741,0.05463515917185786
4,estatevsa3,Yield_CO,0.9778542041778564,0.008259281617266922,0.6569375991821289,0.09753231641476763
5,ggi10,Yield_CO,0.9869287669658661,0.005933206953253216,0.6845567166805268,0.1350437940177255
6,kappa2,Yield_CO,0.9802299380302429,0.013289148348962767,0.7397459268569946,0.08300777207866784
7,kappa3,Yield_CO,0.9824663460254669,0.007478766628747473,0.747720456123352,0.10227747991202274
8,kier2,Yield_CO,0.9750256896018982,0.015722062220049494,0.7508032739162445,0.07002952139631771
9,kier3,Yield_CO,0.9800079524517059,0.011985791845989682,0.7465833723545074,0.08871834292626976
10,peoevsa6,Yield_CO,0.9690295100212097,0.017076515070883303,0.6858085989952087,0.10680591753176608
