source,AI,AI2,Human,Random
target,Yield_CO_s,Yield_CO_s,Yield_CO_s,Yield_CO_s
run0,0.7401639223098755,0.8168944120407104,0.7169908285140991,0.8128708600997925
run1,0.6833447217941284,0.6986849308013916,0.70796799659729,0.752106785774231
run2,0.4568691849708557,0.6304661631584167,0.6997784376144409,0.7228491306304932
run3,0.9239487051963806,0.8906888961791992,0.7854454517364502,0.9164022207260132
run4,0.534044623374939,0.763351321220398,0.7190898656845093,0.7301772236824036
run5,0.7554333806037903,0.7624740600585938,0.7695417404174805,0.8252055644989014
run6,0.7840083837509155,0.7475568652153015,0.7788504958152771,0.773809552192688
run7,0.7751451134681702,0.7794082164764404,0.7655223608016968,0.8066709041595459
run8,0.7802423238754272,0.7925064563751221,0.7597663402557373,0.8278013467788696
run9,0.7751975059509277,0.6995304822921753,0.6823645234107971,0.829590380191803
r2_test_mean,0.7208397865295411,0.7581561803817749,0.7385318040847778,0.7997483968734741
r2_test_max,0.9239487051963806,0.8906888961791992,0.7854454517364502,0.9164022207260132
r2_test_min,0.4568691849708557,0.6304661631584167,0.6823645234107971,0.7228491306304932
r2_test_std,0.12736754942842238,0.0678846173082895,0.0352139671508482,0.05463515917185786
