source,AI,AI2,Human,Random
target,Yield_CO_l,Yield_CO_l,Yield_CO_l,Yield_CO_l
run0,0.7567965388298035,0.8020344972610474,0.7704159617424011,0.7384092807769775
run1,0.6534104347229004,0.6111177206039429,0.7538120746612549,0.6156104803085327
run2,0.7712805271148682,0.7443346977233887,0.8699087500572205,0.7896231412887573
run3,0.8060170412063599,0.7716984152793884,0.792547345161438,0.7917723655700684
run4,0.8539004921913147,0.8311813473701477,0.7285611629486084,0.7937380075454712
run5,0.7971559762954712,0.7501363158226013,0.8097327351570129,0.7518740892410278
run6,0.7441939115524292,0.739783763885498,0.7878095507621765,0.7242299914360046
run7,0.7421432733535767,0.760913610458374,0.8598392009735107,0.7459335327148438
run8,0.6708753108978271,0.6357229948043823,0.7175625562667847,0.7074918150901794
run9,0.789080023765564,0.7349543571472168,0.7114520072937012,0.7165025472640991
r2_test_mean,0.7584853529930115,0.7381877720355987,0.7801641345024108,0.7375185251235962
r2_test_max,0.8539004921913147,0.8311813473701477,0.8699087500572205,0.7937380075454712
r2_test_min,0.6534104347229004,0.6111177206039429,0.7114520072937012,0.6156104803085327
r2_test_std,0.05757507839663995,0.06418957813999089,0.05251756782762085,0.05047585522924556
