source,AI,AI2,Human,Random
target,Yield_CO_cl,Yield_CO_cl,Yield_CO_cl,Yield_CO_cl
run0,0.8055896162986755,0.7543230652809143,0.6849515438079834,0.7583478093147278
run1,0.7363709211349487,0.5737532377243042,0.660529613494873,0.7024855613708496
run2,0.6485595703125,0.7054450511932373,0.7736372947692871,0.7201328277587891
run3,0.7800078988075256,0.7121231555938721,0.7732152342796326,0.7202807664871216
run4,0.8216009736061096,0.7635219097137451,0.7509698867797852,0.8073329329490662
run5,0.7371503114700317,0.6601347923278809,0.7265878915786743,0.7074166536331177
run6,0.7492880821228027,0.7029473781585693,0.665661633014679,0.7526838183403015
run7,0.7148189544677734,0.5994787812232971,0.7085104584693909,0.7444556951522827
run8,0.6105313301086426,0.6067677140235901,0.5727614164352417,0.5483633875846863
run9,0.6908439993858337,0.43759262561798096,0.6677970886230469,0.5282597541809082
r2_test_mean,0.7294761657714843,0.6516087710857391,0.6984622061252594,0.6989759206771851
r2_test_max,0.8216009736061096,0.7635219097137451,0.7736372947692871,0.8073329329490662
r2_test_min,0.6105313301086426,0.43759262561798096,0.5727614164352417,0.5282597541809082
r2_test_std,0.06303592886677195,0.0943059431157839,0.05858901124990484,0.0854590140226151
