source,aats8p,aatsc3d,abcgg,atsc3d,atsc4i,bcutp1l,bertzct,estatevsa3,frnh0,ggi10,kappa2,kappa3,kier2,kier3,peoevsa6,vsaestate3
target,Yield_CS,Yield_CS,Yield_CS,Yield_CS,Yield_CS,Yield_CS,Yield_CS,Yield_CS,Yield_CS,Yield_CS,Yield_CS,Yield_CS,Yield_CS,Yield_CS,Yield_CS,Yield_CS
run0,29.197376251220703,32.27810287475586,26.616430282592773,28.3544864654541,31.808530807495117,36.52748489379883,26.685508728027344,32.64064025878906,29.2465763092041,28.47392463684082,30.64995765686035,27.7825984954834,27.226346969604492,27.611177444458008,28.584352493286133,31.447389602661133
run1,28.233781814575195,30.147750854492188,27.096065521240234,26.999141693115234,28.972217559814453,36.31404113769531,28.6226749420166,30.09514808654785,29.209680557250977,27.13199806213379,25.533784866333008,26.98138999938965,27.104494094848633,29.71036148071289,27.898061752319336,32.61255645751953
run2,37.10536575317383,37.59751892089844,33.589595794677734,39.502685546875,37.90574264526367,38.57032012939453,32.8045539855957,38.83504867553711,36.627967834472656,33.32548522949219,35.80854415893555,35.67805480957031,34.00837326049805,32.84947967529297,39.73390197753906,36.86606979370117
run3,31.215538024902344,30.303768157958984,27.394611358642578,29.72333526611328,29.190793991088867,36.21766662597656,28.654972076416016,31.790964126586914,29.905244827270508,28.28902244567871,28.237777709960938,28.91625213623047,28.24806022644043,29.030237197875977,30.61328125,33.176448822021484
run4,31.62773895263672,39.00259780883789,30.539518356323242,36.30097961425781,36.45529556274414,41.36680603027344,28.91563606262207,35.45309066772461,32.15874481201172,33.26078414916992,30.472314834594727,30.904600143432617,29.912446975708008,31.860488891601562,31.315814971923828,38.87714385986328
run5,41.40203094482422,42.529415130615234,41.64585876464844,41.729087829589844,44.819644927978516,41.41834259033203,41.995811462402344,40.89002990722656,43.45680618286133,42.89529800415039,41.50564956665039,39.387882232666016,41.119686126708984,41.16680145263672,45.280914306640625,43.4063835144043
run6,31.419353485107422,37.07976150512695,33.29941177368164,35.402706146240234,35.58173751831055,38.29525375366211,33.128150939941406,32.740325927734375,34.78572463989258,32.82941436767578,34.32569885253906,35.03622055053711,35.14106369018555,34.76715087890625,35.23552703857422,35.57243728637695
run7,27.909191131591797,31.194501876831055,26.142576217651367,29.455129623413086,31.37874412536621,37.3769416809082,25.375286102294922,33.67478942871094,27.97439193725586,30.173254013061523,27.46370506286621,27.561336517333984,27.98849868774414,25.985340118408203,28.397245407104492,29.899030685424805
run8,29.650394439697266,33.56064224243164,27.812671661376953,30.907081604003906,34.213863372802734,36.33386993408203,29.978483200073242,29.65570831298828,29.598112106323242,29.883197784423828,28.87436294555664,27.619125366210938,27.9483585357666,25.19634437561035,32.68684005737305,31.819477081298828
run9,32.11708450317383,32.44291687011719,28.429636001586914,32.08842086791992,33.26756286621094,35.825077056884766,28.797067642211914,32.386878967285156,29.611963272094727,32.884605407714844,28.04424285888672,30.164165496826172,28.86554718017578,29.894886016845703,33.345550537109375,35.59498977661133
rmse_test_mean,31.9877872467041,34.61369705200195,30.256637573242188,33.046302795410156,34.359413146972656,37.82457733154297,30.495813369750977,33.816261291503906,32.25752258300781,31.91469955444336,31.091604232788086,31.003162384033203,30.75628662109375,30.80722999572754,33.309146881103516,34.92719268798828
rmse_test_max,41.40203094482422,42.529415130615234,41.64585876464844,41.729087829589844,44.819644927978516,41.41834259033203,41.995811462402344,40.89002990722656,43.45680618286133,42.89529800415039,41.50564956665039,39.387882232666016,41.119686126708984,41.16680145263672,45.280914306640625,43.4063835144043
rmse_test_min,27.909191131591797,30.147750854492188,26.142576217651367,26.999141693115234,28.972217559814453,35.825077056884766,25.375286102294922,29.65570831298828,27.97439193725586,27.13199806213379,25.533784866333008,26.98138999938965,27.104494094848633,25.19634437561035,27.898061752319336,29.899030685424805
rmse_test_std,3.9982588291168213,3.9798614978790283,4.558830738067627,4.703561782836914,4.474605083465576,1.9800788164138794,4.447418689727783,3.431723117828369,4.552266597747803,4.256425380706787,4.562211036682129,4.04149866104126,4.348812580108643,4.454463481903076,5.250443458557129,3.8417744636535645
