source,aats8p,aatsc3d,abcgg,atsc3d,atsc4i,bcutp1l,bertzct,estatevsa3,frnh0,ggi10,kappa2,kappa3,kier2,kier3,peoevsa6,vsaestate3
target,Yield_CA,Yield_CA,Yield_CA,Yield_CA,Yield_CA,Yield_CA,Yield_CA,Yield_CA,Yield_CA,Yield_CA,Yield_CA,Yield_CA,Yield_CA,Yield_CA,Yield_CA,Yield_CA
run0,22.759267807006836,22.8294677734375,18.7440242767334,23.259471893310547,22.63275146484375,27.355445861816406,20.38981819152832,27.07815933227539,23.35356330871582,20.706722259521484,23.1503963470459,19.99466323852539,20.710176467895508,21.69078254699707,23.344602584838867,25.191259384155273
run1,18.37501335144043,16.757184982299805,11.663382530212402,15.63637924194336,15.413925170898438,21.272890090942383,16.18579864501953,15.458120346069336,17.71858024597168,17.72886085510254,14.425326347351074,15.300371170043945,16.505083084106445,16.130464553833008,17.033321380615234,18.578134536743164
run2,22.045516967773438,21.724199295043945,20.826862335205078,21.762165069580078,22.01015281677246,20.432035446166992,20.79831886291504,21.543460845947266,21.39029884338379,20.328500747680664,21.110736846923828,19.198171615600586,21.62986183166504,21.22587013244629,21.236738204956055,23.381845474243164
run3,22.167394638061523,22.156156539916992,20.75062370300293,19.778291702270508,22.712900161743164,23.2380428314209,21.399972915649414,25.144821166992188,20.308021545410156,21.83329963684082,21.851085662841797,22.06073760986328,21.83993148803711,21.270153045654297,23.06238555908203,25.273239135742188
run4,21.938587188720703,22.781719207763672,19.387706756591797,22.43629264831543,23.502544403076172,25.186283111572266,22.431882858276367,25.35060691833496,22.2415714263916,23.96335792541504,22.372417449951172,21.07806968688965,22.31947898864746,22.218996047973633,21.851057052612305,25.392276763916016
run5,19.124357223510742,19.043018341064453,18.539335250854492,19.229259490966797,21.9710636138916,27.150911331176758,20.14202880859375,22.37353515625,19.526227951049805,19.495298385620117,20.681291580200195,18.35858154296875,21.219730377197266,20.523414611816406,20.206459045410156,20.99240493774414
run6,21.89370346069336,23.175151824951172,20.991912841796875,22.238113403320312,23.19506072998047,23.999719619750977,20.87760353088379,21.930931091308594,22.263566970825195,21.445466995239258,21.206815719604492,21.276151657104492,22.568668365478516,20.134313583374023,20.929319381713867,20.128883361816406
run7,20.495662689208984,18.87076187133789,16.345617294311523,19.082801818847656,21.4172420501709,23.827980041503906,18.734880447387695,26.519561767578125,22.319250106811523,22.729612350463867,19.72267723083496,17.89878273010254,19.461137771606445,18.552248001098633,18.85050392150879,20.79698944091797
run8,23.8554744720459,22.275390625,20.22679328918457,22.97333526611328,24.486160278320312,25.015771865844727,23.654258728027344,25.38557243347168,23.066566467285156,23.87534523010254,20.79051399230957,22.091266632080078,22.18007469177246,21.877592086791992,24.4675235748291,22.978694915771484
run9,21.278474807739258,20.091489791870117,19.579124450683594,19.573318481445312,22.818971633911133,22.048439025878906,23.36834144592285,21.15601921081543,23.52785873413086,20.628257751464844,22.613895416259766,20.47901725769043,22.94710350036621,20.717483520507812,19.49412727355957,25.09807014465332
rmse_test_mean,21.39334487915039,20.970455169677734,18.70553970336914,20.596942901611328,22.01607894897461,23.9527530670166,20.798290252685547,23.194080352783203,21.571552276611328,21.27347183227539,20.79251480102539,19.77358055114746,21.138124465942383,20.434131622314453,21.047603607177734,22.781179428100586
rmse_test_max,23.8554744720459,23.175151824951172,20.991912841796875,23.259471893310547,24.486160278320312,27.355445861816406,23.654258728027344,27.07815933227539,23.52785873413086,23.96335792541504,23.1503963470459,22.091266632080078,22.94710350036621,22.218996047973633,24.4675235748291,25.392276763916016
rmse_test_min,18.37501335144043,16.757184982299805,11.663382530212402,15.63637924194336,15.413925170898438,20.432035446166992,16.18579864501953,15.458120346069336,17.71858024597168,17.72886085510254,14.425326347351074,15.300371170043945,16.505083084106445,16.130464553833008,17.033321380615234,18.578134536743164
rmse_test_std,1.5677249431610107,2.0474891662597656,2.695234775543213,2.2507567405700684,2.3486263751983643,2.195227861404419,2.0959227085113525,3.2923500537872314,1.771517276763916,1.8391631841659546,2.333765745162964,2.024017572402954,1.8166346549987793,1.7440029382705688,2.1398417949676514,2.3757410049438477
