SMILES,BertzCT,Kappa3,ABCGG
C=CCc1ccc(OCC(=O)N(CC)CC)c(OC)c1,453.0352487657439,4.296921422705366,12.80088556094135
C[C@@]1(c2ccccc2)OC(C(=O)O)=CC1=O,475.0519445460787,1.480754286193065,11.31866368416052
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1N(C)C,647.9726495853823,3.1334571781115157,14.28312181779402
O=C(C[S@@](=O)C(c1ccccc1)c1ccccc1)NO,547.0823255656264,3.5250048747640155,13.146952395188084
CC[C@H]1[C@H](O)N2[C@H]3C[C@@]45c6ccccc6N(C)[C@H]4[C@@H]2C[C@@H]1[C@@H]3[C@H]5O,723.3453291572417,1.2043241017343258,15.981221590903733
C[C@@H](C(=O)O)N(CCCl)CCCl,137.36806555425065,4.140067184599967,8.54179085077646
CC1(C)O[C@H]2C[C@@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@]4(F)[C@H](O)C[C@]3(C)[C@@]2(C(=O)CO)O1,960.1361070217898,2.318524843587084,21.42267910058548
CCC[S@](=O)c1ccc2[nH]/c(=N\C(=O)OC)[nH]c2c1,686.8295910390873,3.11077755527582,12.228210854096911
C=CCN1C(=O)[C@@H](CC(C)C)NC1=S,262.8476130767602,2.3183616224074037,10.071401164574691
C=CC[C@H]1CN(C)CC[C@@]1(OC(=O)CC)c1ccccc1,485.2515104071249,3.351995385916372,13.935537678492985
C=C(C)CNc1ccc([C@H](C)C(=O)O)cc1,381.4239969224984,3.422047088068702,10.38410301759384
C=CCc1ccccc1OC[C@H](O)CNC(C)C,363.266163521068,5.340871756109851,11.48635635531424
O[C@@H]1C=C2CCN3Cc4cc5c(cc4[C@H]([C@H]1O)[C@H]23)OCO5,655.9222160311251,1.5105520014587102,14.010510867342042
CC1(C)O[C@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@]4(F)[C@H](O)C[C@@]3(C)[C@]2(C(=O)CO)O1,960.1361070217898,2.318524843587084,21.42267910058548
CC1(C)O[C@H]2C[C@@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@]4(F)[C@H](O)C[C@@]3(C)[C@]2(C(=O)CO)O1,960.1361070217898,2.318524843587084,21.42267910058548
N[C@@H](CCc1ccc(N(CCCl)CCCl)cc1)C(=O)O,406.1398597836264,5.569747370720098,12.451013364361788
Nc1ccc2c(c1)C(=O)N[C@H](CCCl)O2,395.0088201517133,1.993159359339977,9.763500596834506
C[C@@H](CC(C(N)=O)(c1ccccc1)c1ccccc1)N(C)C,568.3470143109942,3.0447065552278088,15.026762297205549
Cc1c(NC(=O)[C@H](C)N(C)C)c(=O)n(-c2ccccc2)n1C,728.5943476834855,2.824243657765848,15.153794680480772
CC[C@@H](C)NC[C@@H](O)c1ccc(N)cc1,284.17852285341644,3.89510000412471,9.848871762008187
CC(C)CCO[C@H](CN1CCCC1)c1ccccc1,343.53951438557,4.96151583437266,12.563468538334492
O=C(O)[C@@H](O)c1ccccc1,242.77390023702043,1.782313713613438,7.68037950152727
CC[C@](C)(CN(C)C)OC(=O)c1ccccc1,361.7447760896648,4.191373715521905,11.65832447594384
CC(C)(C)NC[C@@H](O)COc1ccccc1NC(=O)c1ccco1,647.2884137417292,5.715519610708396,15.571260277027038
C[C@]12Cc3conc3C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H]1CC[C@]2(C)O,664.5509512449331,1.7491606609238597,16.011835301503687
COc1ccc2c(c1)C[C@@H](C)N(CCc1ccc(N)cc1)CC2,651.1912914798174,3.854848304580607,13.621594594665746
COc1ccc(C(=O)c2ccc3n2CC[C@@H]3C(=O)O)cc1,699.5670977435273,2.203238132060818,14.126924392828704
C1=CN2C[C@@H](c3ccccc3)N=C2S1,397.0083754006452,1.2448438877086772,9.780072763266068
Cc1ccc(SC[C@H](S)CS)cc1,242.85170031680724,4.339111146949451,8.484954433007765
C=CCc1cc(OC)c2c(c1OC)OCO2,411.9700542795412,1.5597933560850372,11.299302963371288
CN1CCN2c3ccccc3Cn3cccc3[C@@H]2C1,601.546443510289,1.6878613680120904,12.523267386894576
Cc1ccccc1NC(=O)[C@H](C)N1CCCC1,396.9636126507818,2.8560737857453966,11.787156509676429
COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3,1073.9532352833237,2.037591040575576,16.642427058863962
CC(=O)Oc1ccccc1C(=O)O,343.2228677267164,2.297415032519928,9.039192285773227
C[C@H](C(=O)O)c1ccc(-c2ccsc2)cc1,471.1435181861824,2.142568373663928,10.848246942985387
CN1[C@H]2CC[C@@H]1CC(OC(=O)[C@@](C)(CO)c1ccccc1)C2,518.3936230242251,2.6564820102222693,14.876800372785748
CN1[C@H]2CC[C@@H]1CC(OC(=O)[C@H](CO)c1ccccc1)C2,476.06840462966727,2.965447272746595,13.944387541886233
C[N+]1([O-])[C@H]2CC[C@@H]1CC(OC(=O)[C@H](CO)c1ccccc1)C2,514.7202922510945,2.76056113600487,14.696858831912284
NC[C@H](CC(=O)O)c1ccc(Cl)cc1,310.402966410215,3.0132151439158164,9.48213472350572
CC(=O)c1cc2cccc(OC[C@H](O)CNC(C)C)c2o1,617.7645436918476,4.059198287633791,13.529776442632729
Cc1cccc2c1Oc1ccccc1[C@@]1(O)CCN(C)C[C@H]21,727.1251646343483,1.892258508323609,14.031801449818058
O=C(O)c1ccc(N[C@H]2OC[C@@H](O)[C@H](O)[C@H]2O)cc1,448.0377596147709,3.0186164764091163,12.108462904955331
C[C@H](NNC(=O)c1ccccc1)c1ccccc1,496.4167554874706,3.181985688581212,11.377383205316416
C[C@H](C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1,808.0050825517224,2.623168555052997,13.25636912789248
CCc1oc2ccccc2c1C(=O)c1ccc(O)cc1,766.5343823731379,1.9716377557178888,13.249122674963491
CC(=O)O[C@H](c1ccc(Cl)c(Cl)c1)C(Cl)(Cl)Cl,427.1947007908669,4.381094920358913,11.980115247236116
OC[C@@H](O)COc1nn(Cc2ccccc2)c2ccccc12,740.0036817395339,3.1044785684436964,13.639820767321432
O=C(O[C@@H]1CN2CCC1CC2)c1ccccc1,395.9430536892982,2.199137096074427,10.945249573610615
O=C(c1ccccc1)[C@@H](O)c1ccccc1,462.6087192277258,2.176308456077578,10.555718796767966
C[N+]1(C)CC[C@H](OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,657.8386049036434,3.206085047624794,16.138136494260255
O=C(OCc1ccccc1)[C@@H](O)c1ccccc1,493.6618679853072,3.181985688581212,11.38878106671052
COc1c(O)cc2c(c1O)[C@H]1O[C@@H](CO)[C@H](O)[C@H](O)[C@H]1OC2=O,643.625379251727,2.2029621592624977,15.152045923012032
Cc1ccc2c(c1)CC(=O)c1cc([C@H](C)C(=O)O)ccc1O2,776.6517782005486,2.477983850140321,13.83409739717258
CCO[C@H]1O[C@@H]2O[C@]3(C)CC[C@H]4[C@@H](C)CC[C@H]([C@@H]1C)[C@@]42OO3,442.7652344253172,1.9569445531929173,14.082541736399088
C[C@@H](C[N+](C)(C)C)OC(N)=O,139.86622494879165,7.12325719111392,7.986088200531726
C[N+](C)(C)CCO[C@H](Cc1ccccc1)c1ccccc1,516.2675465800155,5.7006866930484295,13.317059775636674
O=C(OCCN1CCCC1)[C@@]1(c2ccccc2)C[C@@H]2CC[C@H]1C2,552.0199180376022,2.692384468399543,15.77319992627092
C=CCC1=C(C)[C@@H](OC(=O)[C@H]2[C@@H](C=C(C)C)C2(C)C)CC1=O,573.4877160391027,2.943022426165221,15.782364583816438
C[C@H](C(=O)O)c1nc(-c2ccc(Br)cc2)cs1,535.6935865709551,2.73054366920409,11.484451758684528
COc1cc(C[C@@H](C)N)c(OC)cc1Br,339.6049607753009,3.1074266377537865,10.320736928528143
COc1ccc(C(=O)/C(Br)=C/C(=O)O)cc1,433.8027140673132,3.2009950637338167,10.654675050509097
CN(C)CCO[C@H](c1ccccc1)c1ccc(Br)cc1,510.2730301856948,4.4424618086572085,12.65138350041098
CN(C)CC[C@@H](c1ccc(Br)cc1)c1ccccn1,493.91719964890143,4.1490997732367605,12.216866596012348
CC(C)(C)NC[C@H](O)c1cc(Br)no1,293.24721543994883,3.7737249333804175,10.098768725983692
CCOc1ccc(NC(=O)C[C@@H](C)O)cc1,332.62203889304567,4.314605705751349,10.162550778970177
Cc1ccc(OC[C@H](O)CNC(C)(C)C)c2oc(=O)ccc12,699.8516472684541,4.320701059673134,13.926710246697734
CC(C)(C)NC[C@@H](O)COc1ccccc1OC[C@@H]1CCCO1,466.33454409393073,6.769522767443816,14.674580416262206
CCc1cccc2cc([C@H](O)CNC(C)(C)C)oc12,551.3645419579747,3.3657671062744106,12.7534487158279
COc1ccc2c(c1O)-c1c3c(cc4c1[C@H](C2)N(C)CC4)OCO3,861.1757846095304,1.6763616945532225,15.309620833150634
CC(C)(C)NC[C@@H](O)COc1ccccc1C#N,418.53754752791343,5.1732064366695685,11.776173913043728
Cc1ccc(Cl)c(OC[C@@H](O)CNC(C)(C)C)c1,387.8706482792875,5.7149348510811695,11.868927482238162
CC(C)C(=O)Nc1cccc([C@@H]2CN3CCSC3=N2)c1,555.8045370551284,2.6780805270272454,13.343427108563471
CC[C@H](C(=O)O)c1ccc(-c2ccccc2)cc1,514.5530409852149,2.5914735972097724,11.40100354787088
CCCC(=O)c1cc(F)ccc1OC[C@H](O)CNC(C)(C)C,497.16768435268,6.536540041411322,14.263738281512198
CCOC(=O)NNc1ccc(N(CC)C[C@@H](C)O)nn1,410.05875070717855,5.268544354094518,12.387254924465694
O=C(O)[C@H]1CCc2cc(OCCn3ccnc3)ccc21,607.5861163181356,2.5188493492415858,12.919209859984685
CC1(C)[C@H]2CC[C@]1(C)C(=O)[C@H]2Br,246.2231344031171,0.6877927152277682,9.69225540054437
NC(=O)N1c2ccccc2C2O[C@@H]2c2ccccc21,631.850721354104,1.4039253061574195,13.494221331056623
CN(C)CCO[C@@H](c1ccc(Cl)cc1)c1ccccn1,513.7598984869505,4.303724581782935,12.651383500410978
CN1C(=O)CN(C(N)=O)[C@H](c2ccccc2)c2cc(Cl)ccc21,763.6887260864563,2.751733788280215,15.219268139747328
CC(C)(C)NC[C@@H](O)c1ccc(O)c(NC(N)=O)c1,454.9369307811001,5.150216422432369,12.684336679761602
C#C[C@H](OC(N)=O)c1ccccc1,326.52802428866016,2.528178589105308,8.882635714303776
CC(C)OC(=O)c1cc2c(OC[C@H](O)CNC(C)(C)C)cccc2[nH]1,715.7726587983667,5.758447352766209,15.89826689812149
CC(C)(C)NC[C@@H](O)COc1cccc2c1CCC(=O)N2,508.7338197187734,4.719683636293361,13.145238359046806
CCCC(=O)O[C@@H]1CN2CC[C@@H](O)[C@@H]2[C@H](O)[C@H]1O,310.842895279382,2.514542747607246,12.470937375370378
CN(C)[C@@](C)(CO)Cc1ccc(Cl)c(Cl)c1,368.0364349184168,3.109248449209366,11.140137229488072
CNC(=O)COc1ccccc1OC[C@H](O)CNC(C)(C)C,471.4587647406015,7.284749174111114,13.940181476344394
O=C(OCCN1CCCCCC1)[C@@H](c1ccsc1)C1CCCCC1,473.83810583888607,5.06138796185016,15.243565732116688
CN1C(=O)CCS(=O)(=O)[C@H]1c1ccc(Cl)cc1,538.3399004379567,2.3018307955044373,11.600828476882146
NC(=O)NC(=O)[C@@H](Cl)c1ccccc1,339.9250078018522,2.741493158834027,9.611957072915947
OC[C@@H](O)COc1ccc(Cl)cc1,247.54165625270005,3.632002331700535,8.484954433007765
NC(=O)OC[C@@H](O)COc1ccc(Cl)cc1,341.1771954549894,4.858360022761948,10.15898508994203
CN(C)CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,553.1908264086571,4.068068371596222,13.597665401671712
O=C1N[C@H](CCCl)Oc2ccccc21,353.7301643637959,1.6791669060614762,9.133501391236017
CN1C[C@@H](C[C@H](C#N)C(N)=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,833.4946339556292,2.296792842468704,15.279385054451684
C[C@H]1C[C@@H](OC(=O)[C@@H](C)O)CC(C)(C)C1,233.02173091204665,3.820534549213285,10.471450494008948
O[C@]1(c2cccc(Cl)c2)C2=NCCCN2c2ccccc21,743.0748964963217,1.7431043697542248,13.79123425583016
C[C@H](C(=O)O)c1ccc2c(c1)Cc1ccccc1-2,628.744128975873,1.613139945842104,11.823794074687012
c1ccc(C2(c3ccccc3)C[C@@H]2C2=NCCN2)cc1,591.4825027665295,1.678073121006452,14.420803896623704
C[C@H](CCN(C)C)Nc1cc(O)cc2cccnc12,554.0820258533159,3.576723874553576,12.142250759892638
COC[C@@H]1CN(c2ccc(OCc3cccc(C#N)c3)cc2)C(=O)O1,782.7562562856338,4.082624137823414,14.617450166647629
COC(=O)/C=C/c1ccccc1OC[C@H](O)CNC(C)C,471.0997100132618,6.922744389077574,13.16374126182951
C[C@@H]([C@@H](O)c1ccccc1)N(C)C/C=C/c1ccccc1,550.2937411813542,4.553237060975729,13.09123270882846
O=C1C(C[C@@H]2CCCO2)C(=O)N2c3ccccc3-c3ccccc3N12,809.2499170957813,2.053873817904216,16.13697639684007
COc1cc(/C=C/C(=O)N2CCCCCCC2)cc(OC)c1OC,549.724674208312,4.663248649710177,14.34997600300334
COc1ccc2c(c1)c(-c1ccccc1)nc(=O)n2CC1CC1,911.7960851923084,2.6077334880449783,14.512015680478417
CN(C)[C@@H](c1cccc(O)c1)[C@@H]1CCCC[C@@H]1O,391.8349207604565,2.845812753954366,12.173383073207134
CN1CCC2=C(CC1)c1cc(C#N)ccc1Sc1ccccc12,844.9604454435414,2.585725123182526,14.12559576137059
C=CCc1cccc(OC)c1OCCN(CC)CC,386.3353649218873,4.598820054759329,12.26944322071461
CN(C)C[C@@H](O)[C@H](c1ccccc1)c1cccc(Cl)c1,541.6960845557447,3.825397329793695,13.262330958431107
