target,Yield_CA,Yield_CN,Yield_CS
run0,-0.44125592708587646,0.14915376901626587,0.1553555130958557
run1,-0.06603491306304932,0.09232330322265625,-0.07067883014678955
run2,0.17262786626815796,-0.12172353267669678,-0.008918285369873047
run3,0.2312045693397522,0.13551807403564453,0.11786854267120361
run4,0.3301226496696472,-0.01861429214477539,0.013837814331054688
run5,0.3805440664291382,-0.039519429206848145,-0.09244740009307861
run6,0.12186580896377563,0.11006724834442139,0.026138901710510254
run7,0.25564807653427124,-0.05321705341339111,0.146484375
run8,-0.12155652046203613,0.036315321922302246,0.09155935049057007
run9,-0.010063409805297852,0.12150681018829346,0.08884835243225098
r2_test_mean,0.08531022667884827,0.04118102192878723,0.04680483341217041
r2_test_max,0.3805440664291382,0.14915376901626587,0.1553555130958557
r2_test_min,-0.44125592708587646,-0.12172353267669678,-0.09244740009307861
r2_test_std,0.23631001098149043,0.08940429456899131,0.08267557252389625
