source,AI+AI2,AI+Human,AI+Random,AI2+Human,AI2+Random,Random+Human
target,Yield_CN,Yield_CN,Yield_CN,Yield_CN,Yield_CN,Yield_CN
run0,0.3490068316459656,0.3699062466621399,0.45502418279647827,0.41746360063552856,0.45249342918395996,0.1985911726951599
run1,0.48183125257492065,0.6036758422851562,0.5691185593605042,0.5534496307373047,0.3962022662162781,0.5484874248504639
run2,0.20123767852783203,0.3497470021247864,0.3441465497016907,0.2456592321395874,0.274175763130188,0.14707499742507935
run3,0.3497093915939331,0.42605751752853394,0.4603988528251648,0.41984498500823975,0.2689908742904663,0.3890223503112793
run4,0.25575870275497437,0.42529475688934326,0.3026037812232971,0.42895400524139404,0.49249809980392456,0.39209073781967163
run5,0.279430627822876,0.3202020525932312,0.27009421586990356,0.2967124581336975,0.33388662338256836,0.17153608798980713
run6,0.5683813095092773,0.325353741645813,0.5911895632743835,0.4209434390068054,0.5789905786514282,0.48815977573394775
run7,0.5060286521911621,0.3327517509460449,0.5934356451034546,0.5768343210220337,0.6155334711074829,0.5622659921646118
run8,0.2799612879753113,0.4027714729309082,0.49453437328338623,0.4878769516944885,0.22163480520248413,0.33391034603118896
run9,0.3180428147315979,0.41370004415512085,0.4858101010322571,0.5005695223808289,0.4611428380012512,0.3774162530899048
r2_test_mean,0.35893885493278505,0.3969460427761078,0.456635582447052,0.43483081459999084,0.40955487489700315,0.3608555138111115
r2_test_max,0.5683813095092773,0.6036758422851562,0.5934356451034546,0.5768343210220337,0.6155334711074829,0.5622659921646118
r2_test_min,0.20123767852783203,0.3202020525932312,0.27009421586990356,0.2456592321395874,0.22163480520248413,0.14707499742507935
r2_test_std,0.11425201307750554,0.07924510993370916,0.1108841469325478,0.09848200294540262,0.12721003378356915,0.14234509846194376
