source,AI+AI2,AI+Human,AI+Random,AI2+Human,AI2+Random,Random+Human
target,Yield_CN,Yield_CN,Yield_CN,Yield_CN,Yield_CN,Yield_CN
run0,29.075862884521484,28.605331420898438,26.603147506713867,27.504636764526367,26.664844512939453,32.260528564453125
run1,26.878782272338867,23.507110595703125,24.510540008544922,24.952220916748047,29.014808654785156,25.09047508239746
run2,37.21543884277344,33.57805252075195,33.72234344482422,36.165802001953125,35.475624084472656,38.45650100708008
run3,30.74075698852539,28.879854202270508,28.00252914428711,29.035736083984375,32.59284210205078,29.79706382751465
run4,33.8514404296875,29.746976852416992,32.76876449584961,29.652122497558594,27.953685760498047,30.594236373901367
run5,35.5615119934082,34.54078674316406,35.79115676879883,35.13248062133789,34.19136428833008,38.131080627441406
run6,25.782577514648438,32.234004974365234,25.09210968017578,29.863224029541016,25.463733673095703,28.076528549194336
run7,28.829986572265625,33.50713348388672,26.155208587646484,26.683868408203125,25.434476852416992,27.13930320739746
run8,33.54790496826172,30.553272247314453,28.10821533203125,28.29271697998047,34.880218505859375,32.26664352416992
run9,31.40538215637207,29.119604110717773,27.2701358795166,26.87590217590332,27.916589736938477,30.00712776184082
rmse_test_mean,31.288965225219727,30.42721176147461,28.802417755126953,29.41587257385254,29.958820343017578,31.181949615478516
rmse_test_max,37.21543884277344,34.54078674316406,35.79115676879883,36.165802001953125,35.475624084472656,38.45650100708008
rmse_test_min,25.782577514648438,23.507110595703125,24.510540008544922,24.952220916748047,25.434476852416992,25.09047508239746
rmse_test_std,3.550708770751953,3.08851957321167,3.691622734069824,3.4263010025024414,3.7432069778442383,4.126567840576172
