source,AI+Random
target,Yield_CN
run0,24.05441665649414
run1,23.643733978271484
run2,31.722496032714844
run3,18.278255462646484
run4,27.784147262573242
run5,23.09398078918457
run6,24.92391014099121
run7,22.107698440551758
run8,30.701034545898438
run9,25.67664337158203
rmse_test_mean,25.198633193969727
rmse_test_max,31.722496032714844
rmse_test_min,18.278255462646484
rmse_test_std,3.8135032653808594
