,source,target,r2_train_mean,r2_train_std,r2_test_mean,r2_test_std
0,AI,AATSC3d,0.9999603807926178,5.830952166537124e-05,0.5122130393981934,0.1275071832791872
1,AI,ATSC3d,0.9994732856750488,0.000681154994108635,0.6385146737098694,0.08280535704658737
2,AI,VSA_EState3,0.9985433876514435,0.0039639563101831615,0.7731683850288391,0.06601702174746082
3,AI2,AATSC3d,0.9998506963253021,0.00038402012006398366,0.36356757283210756,0.219645597363328
4,AI2,ATSC3d,0.9998969852924346,0.00015470417426298225,0.44784754514694214,0.2695662018039326
5,AI2,VSA_EState3,0.9985682368278503,0.003983574333382204,0.6833795130252838,0.11097518802340817
6,Human,AATSC3d,0.9999363481998443,9.90689962708981e-05,0.4545992374420166,0.23317207617844413
7,Human,ATSC3d,0.9996075987815857,0.0006341001492002158,0.5359984159469604,0.18307804640792932
8,Human,VSA_EState3,0.9983767747879029,0.004010237906374525,0.7172738373279571,0.11198365768840357
9,Random,AATSC3d,0.9998460948467255,0.0002585196953534351,0.5262674033641815,0.11279277031680514
10,Random,ATSC3d,0.9994724214076995,0.0009914435866343043,0.6378852427005768,0.07706636472733308
11,Random,VSA_EState3,0.9987198531627655,0.003397417582641426,0.7901725471019745,0.0722328395915409
