,source,target,r2_train_mean,r2_train_std,r2_test_mean,r2_test_std
0,AI,ABCGG,0.9999942362308503,1.7291307449340818e-05,0.8208458065986634,0.035401163333654465
1,AI,Kappa3,0.9999829053878784,5.1224259462408985e-05,0.6615229487419129,0.06777487570448058
2,AI2,ABCGG,0.9999978125095368,6.52283178875951e-06,0.7286196410655975,0.06975485307955666
3,AI2,Kappa3,0.9999733746051789,7.918323973718256e-05,0.5776070475578308,0.09808988368163919
4,Human,ABCGG,0.9999579071998597,8.619945254342573e-05,0.654772812128067,0.11510301357355136
5,Human,Kappa3,0.9999260544776917,0.00014781153997682465,0.4530189037322998,0.22438260736690183
6,Random,ABCGG,0.9999997079372406,8.37206594390268e-07,0.8751693487167358,0.025021858285491184
7,Random,Kappa3,0.9999962627887726,9.951942844453319e-06,0.7633714199066162,0.04154040185357363
