compoud name,CID,molecular formula,molecular weight,Canonical SMILES,SMILES
,,,,,CN(C)c1ccc(-c2ccc3c4c(cccc24)C(=O)C3=O)cc1
"N,N-dimethyl-4-(2,3,4,5,6-pentafluorophenyl)aniline",15151795.0,C14H10F5N,287.23,CN(C)C1=CC=C(C=C1)C2=C(C(=C(C(=C2F)F)F)F)F,CN(C)c1ccc(-c2c(F)c(F)c(F)c(F)c2F)cc1
,,,,,CN(C)c1ccc(-c2ccc3c(c2)C(=O)NC3=O)cc1
,,,,,CN(C)c1ccc(-c2ccc3c(c2)C(=O)C=CC3=O)cc1
"2-[4-(dimethylamino)phenyl]naphthalene-1,4-dione",12847595.0,C18H15NO2,277.3,CN(C)C1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3C2=O,CN(C)c1ccc(C2=CC(=O)c3ccccc3C2=O)cc1
"2-[4-(dimethylamino)phenyl]cyclohexa-2,5-diene-1,4-dione",14934995.0,C14H13NO2,227.26,CN(C)C1=CC=C(C=C1)C2=CC(=O)C=CC2=O,CN(C)c1ccc(C2=CC(=O)C=CC2=O)cc1
"3-[4-(dimethylamino)phenyl]pyrrole-2,5-dione",153698787.0,C12H12N2O2,216.24,CN(C)C1=CC=C(C=C1)C2=CC(=O)NC2=O,CN(C)c1ccc(C2=CC(=O)NC2=O)cc1
"1-[4-(dimethylamino)phenyl]pyrrole-2,5-dione",236793.0,C12H12N2O2,216.24,CN(C)C1=CC=C(C=C1)N2C(=O)C=CC2=O,CN(C)c1ccc(N2C(=O)C=CC2=O)cc1
,,,,,CN(C)c1ccc(-c2ccc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)cc2)cc1
,,,,,CN(C)c1ccc(-c2c[nH]c3ccccc3c2=O)cc1
"4-bis(2,4,6-trimethylphenyl)boranyl-N,N-dimethylaniline",22008159.0,C26H32BN,369.4,B(C1=CC=C(C=C1)N(C)C)(C2=C(C=C(C=C2C)C)C)C3=C(C=C(C=C3C)C)C,Cc1cc(C)c(B(c2ccc(N(C)C)cc2)c2c(C)cc(C)cc2C)c(C)c1
,,,,,CN(C)c1ccc(-c2ccc3c(c2)C(=O)c2ccccc2C3=C(C#N)C#N)cc1
2-[[5-[4-(dimethylamino)phenyl]thiophen-2-yl]methylidene]propanedinitrile,14744627.0,C16H13N3S,279.4,CN(C)C1=CC=C(C=C1)C2=CC=C(S2)C=C(C#N)C#N,CN(C)c1ccc(-c2ccc(C=C(C#N)C#N)s2)cc1
,,,,,CN(C)c1ccc(-c2ccc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)s2)cc1
,,,,,CN(C)c1ccc(-c2ccc3c4c(cccc24)-c2nc4cc(C#N)c(C#N)cc4nc2-3)cc1
2-[4-(dimethylamino)phenyl]pyrimidine-5-carbonitrile,83810206.0,C13H12N4,224.26,CN(C)C1=CC=C(C=C1)C2=NC=C(C=N2)C#N,CN(C)c1ccc(-c2ncc(C#N)cn2)cc1
"N,N-dimethyl-4-pyridin-2-ylaniline",2758513.0,C13H14N2,198.26,CN(C)C1=CC=C(C=C1)C2=CC=CC=N2,CN(C)c1ccc(-c2ccccn2)cc1
,,,,,CN(C)c1ccc(-c2cnc3c(ccc4cccnc43)c2)cc1
,,,,,c1cc(-c2ccc(N3CCOCC3)cc2)no1
"4-[4-(1,2-oxazol-5-yl)phenyl]morpholine",86214484.0,C13H14N2O2,230.26,C1COCCN1C2=CC=C(C=C2)C3=CC=NO3,c1cc(-c2ccc(N3CCOCC3)cc2)on1
,,,,,c1cc(N2CCOCC2)ccc1-c1cnoc1
,,,,,c1coc(-c2ccc(N3CCOCC3)cc2)n1
,,,,,c1nc(-c2ccc(N3CCOCC3)cc2)co1
,,,,,c1ncc(-c2ccc(N3CCOCC3)cc2)o1
,,,,,c1ncc(-c2ccc(N3CCOCC3)cc2)s1
"4-[4-(1,3-thiazol-2-yl)phenyl]morpholine",90022867.0,C13H14N2OS,246.33,C1COCCN1C2=CC=C(C=C2)C3=NC=CS3,c1csc(-c2ccc(N3CCOCC3)cc2)n1
"4-[4-(1,3-thiazol-4-yl)phenyl]morpholine",144265198.0,C13H14N2OS,246.33,C1COCCN1C2=CC=C(C=C2)C3=CSC=N3,c1nc(-c2ccc(N3CCOCC3)cc2)cs1
,,,,,c1ccc2c(c1)ccc1cc(-c3ccc(N4CCOCC4)cc3)ccc12
,,,,,c1cc2[nH]c(-c3ccc(N4CCOCC4)cc3)cc2cn1
,,,,,c1ccc2oc(-c3ccc(-c4ccc(N5CCOCC5)cc4)cc3)nc2c1
,,,,,c1nc2cc(-c3ccc(N4CCOCC4)cc3)ccc2o1
,,,,,c1ccc2oc(-c3ccc(N4CCOCC4)cc3)nc2c1
,,,,,c1nc2cc(-c3ccc(N4CCOCC4)cc3)ccc2s1
"4-[4-(1,3-benzothiazol-2-yl)phenyl]morpholine",4211080.0,C17H16N2OS,296.4,C1COCCN1C2=CC=C(C=C2)C3=NC4=CC=CC=C4S3,c1ccc2sc(-c3ccc(N4CCOCC4)cc3)nc2c1
,,,,,Cn1cnc2cc(-c3ccc(N4CCOCC4)cc3)ccc21
,,,,,Cn1c(-c2ccc(N3CCOCC3)cc2)nc2ccccc21
,,,,,c1ccc2c(c1)sc1nc(-c3ccc(N4CCOCC4)cc3)ccc12
,,,,,N#Cc1ccc2c(c1)sc1cc(-c3ccc(N4CCOCC4)cc3)ccc12
,,,,,c1ccc2c(c1)[SiH2]c1nc(-c3ccc(N4CCOCC4)cc3)ccc1-2
,,,,,c1ccc2c(c1)oc1nc(-c3ccc(N4CCOCC4)cc3)ccc12
,,,,,N#Cc1cc(-c2ccc(N3CCOCC3)cc2)cc(C#N)c1C#N
,,,,,O=C(c1ccc(-c2ccc(N3CCOCC3)cc2)cc1)C(F)(F)F
4-(4-morpholin-4-ylphenyl)benzaldehyde,20100034.0,C17H17NO2,267.32,C1COCCN1C2=CC=C(C=C2)C3=CC=C(C=C3)C=O,O=Cc1ccc(-c2ccc(N3CCOCC3)cc2)cc1
,,,,,CC(=O)c1ccc(-c2ccc(N3CCOCC3)cc2)cc1
,,,,,CS(=O)(=O)c1ccc(-c2ccc(N3CCOCC3)cc2)cc1
,,,,,O=Cc1ccc(C=O)c(-c2ccc(N3CCOCC3)cc2)c1
,,,,,N#Cc1cc(C#N)c(-c2ccc(N3CCOCC3)cc2)c(C#N)c1
,,,,,O=C1C(=O)c2ccc(-c3ccc(N4CCOCC4)cc3)c3cccc1c23
,,,,,Fc1c(F)c(F)c(-c2ccc(N3CCOCC3)cc2)c(F)c1F
,,,,,O=C1NC(=O)c2cc(-c3ccc(N4CCOCC4)cc3)ccc21
,,,,,O=C1C=CC(=O)c2cc(-c3ccc(N4CCOCC4)cc3)ccc21
,,,,,O=C1C=C(c2ccc(N3CCOCC3)cc2)C(=O)c2ccccc21
,,,,,O=C1C=CC(=O)C(c2ccc(N3CCOCC3)cc2)=C1
,,,,,O=C1C=C(c2ccc(N3CCOCC3)cc2)C(=O)N1
"1-(4-morpholin-4-ylphenyl)pyrrole-2,5-dione",699272.0,C14H14N2O3,258.27,C1COCCN1C2=CC=C(C=C2)N3C(=O)C=CC3=O,O=C1C=CC(=O)N1c1ccc(N2CCOCC2)cc1
,,,,,N#CC(C#N)=C1/C(=C/c2ccc(-c3ccc(N4CCOCC4)cc3)cc2)C(=O)c2ccccc21
,,,,,O=c1c(-c2ccc(N3CCOCC3)cc2)c[nH]c2ccccc12
,,,,,Cc1cc(C)c(B(c2ccc(N3CCOCC3)cc2)c2c(C)cc(C)cc2C)c(C)c1
,,,,,N#CC(C#N)=C1c2ccccc2C(=O)c2cc(-c3ccc(N4CCOCC4)cc3)ccc21
,,,,,N#CC(C#N)=Cc1ccc(-c2ccc(N3CCOCC3)cc2)s1
,,,,,N#CC(C#N)=C1/C(=C/c2ccc(-c3ccc(N4CCOCC4)cc3)s2)C(=O)c2ccccc21
,,,,,N#Cc1cc2nc3c(nc2cc1C#N)-c1ccc(-c2ccc(N4CCOCC4)cc2)c2cccc-3c12
,,,,,N#Cc1cnc(-c2ccc(N3CCOCC3)cc2)nc1
4-(4-pyridin-2-ylphenyl)morpholine,91546250.0,C15H16N2O,240.30,C1COCCN1C2=CC=C(C=C2)C3=CC=CC=N3,c1ccc(-c2ccc(N3CCOCC3)cc2)nc1
,,,,,c1cnc2c(c1)ccc1cc(-c3ccc(N4CCOCC4)cc3)cnc12
,,,,,c1ccc2c(c1)ccc1cc(N3CCOCC3)ccc12
,,,,,c1cc2[nH]c(N3CCOCC3)cc2cn1
,,,,,c1ccc2oc(-c3ccc(N4CCOCC4)cc3)nc2c1
"5-morpholin-4-yl-1,3-benzoxazole",170626617.0,C11H12N2O2,204.22,C1COCCN1C2=CC3=C(C=C2)OC=N3,c1nc2cc(N3CCOCC3)ccc2o1
"2-morpholin-4-yl-1,3-benzoxazole",589769.0,C11H12N2O2,204.22,C1COCCN1C2=NC3=CC=CC=C3O2,c1ccc2oc(N3CCOCC3)nc2c1
,,,,,c1nc2cc(N3CCOCC3)ccc2s1
"4-(1,3-benzothiazol-2-yl)morpholine",77901.0,C11H12N2OS,220.29,C1COCCN1C2=NC3=CC=CC=C3S2,c1ccc2sc(N3CCOCC3)nc2c1
4-(1-methylbenzimidazol-5-yl)morpholine,154219753.0,C12H15N3O,217.27,CN1C=NC2=C1C=CC(=C2)N3CCOCC3,Cn1cnc2cc(N3CCOCC3)ccc21
4-(1-methylbenzimidazol-2-yl)morpholine,12060479.0,C12H15N3O,217.27,CN1C2=CC=CC=C2N=C1N3CCOCC3,Cn1c(N2CCOCC2)nc2ccccc21
,,,,,c1ccc2c(c1)sc1nc(N3CCOCC3)ccc12
,,,,,N#Cc1ccc2c(c1)sc1cc(N3CCOCC3)ccc12
,,,,,c1ccc2c(c1)[SiH2]c1nc(N3CCOCC3)ccc1-2
,,,,,c1ccc2c(c1)oc1nc(N3CCOCC3)ccc12
,,,,,N#Cc1cc(N2CCOCC2)cc(C#N)c1C#N
"2,2,2-trifluoro-1-(4-morpholin-4-ylphenyl)ethanone",3018038.0,C12H12F3NO2,259.22,C1COCCN1C2=CC=C(C=C2)C(=O)C(F)(F)F,O=C(c1ccc(N2CCOCC2)cc1)C(F)(F)F
4-morpholin-4-ylbenzaldehyde,291349.0,C11H13NO2,191.23,C1COCCN1C2=CC=C(C=C2)C=O,O=Cc1ccc(N2CCOCC2)cc1
1-(4-morpholin-4-ylphenyl)ethanone,38362.0,C12H15NO2,205.25,CC(=O)C1=CC=C(C=C1)N2CCOCC2,CC(=O)c1ccc(N2CCOCC2)cc1
4-(4-methylsulfonylphenyl)morpholine,4248397.0,C11H15NO3S,241.31,CS(=O)(=O)C1=CC=C(C=C1)N2CCOCC2,CS(=O)(=O)c1ccc(N2CCOCC2)cc1
,,,,,O=Cc1ccc(C=O)c(N2CCOCC2)c1
,,,,,N#Cc1cc(C#N)c(N2CCOCC2)c(C#N)c1
,,,,,O=C1C(=O)c2ccc(N3CCOCC3)c3cccc1c23
"4-(2,3,4,5,6-pentafluorophenyl)morpholine",13529901.0,C10H8F5NO,253.17,C1COCCN1C2=C(C(=C(C(=C2F)F)F)F)F,Fc1c(F)c(F)c(N2CCOCC2)c(F)c1F
"5-morpholin-4-ylisoindole-1,3-dione",19789310.0,C12H12N2O3,232.23,C1COCCN1C2=CC3=C(C=C2)C(=O)NC3=O,O=C1NC(=O)c2cc(N3CCOCC3)ccc21
,,,,,O=C1C=CC(=O)c2cc(N3CCOCC3)ccc21
"2-morpholin-4-ylnaphthalene-1,4-dione",708162.0,C14H13NO3,243.26,C1COCCN1C2=CC(=O)C3=CC=CC=C3C2=O,O=C1C=C(N2CCOCC2)C(=O)c2ccccc21
"2-morpholin-4-ylcyclohexa-2,5-diene-1,4-dione",10058429.0,C10H11NO3,193.20,C1COCCN1C2=CC(=O)C=CC2=O,O=C1C=CC(=O)C(N2CCOCC2)=C1
,,,,,N#CC(C#N)=C1/C(=C/c2ccc(N3CCOCC3)cc2)C(=O)c2ccccc21
,,,,,O=c1c(N2CCOCC2)c[nH]c2ccccc12
,,,,,Cc1cc(C)c(B(c2c(C)cc(C)cc2C)N2CCOCC2)c(C)c1
,,,,,N#CC(C#N)=C1c2ccccc2C(=O)c2cc(N3CCOCC3)ccc21
2-[(5-morpholin-4-ylthiophen-2-yl)methylidene]propanedinitrile,15425575.0,C12H11N3OS,245.30,C1COCCN1C2=CC=C(S2)C=C(C#N)C#N,N#CC(C#N)=Cc1ccc(N2CCOCC2)s1
,,,,,N#CC(C#N)=C1/C(=C/c2ccc(N3CCOCC3)s2)C(=O)c2ccccc21
,,,,,N#Cc1cc2nc3c(nc2cc1C#N)-c1ccc(N2CCOCC2)c2cccc-3c12
2-morpholin-4-ylpyrimidine-5-carbonitrile,1478405.0,C9H10N4O,190.20,C1COCCN1C2=NC=C(C=N2)C#N,N#Cc1cnc(N2CCOCC2)nc1
4-pyridin-2-ylmorpholine,10964853.0,C9H12N2O,164.20,C1COCCN1C2=CC=CC=N2,c1ccc(N2CCOCC2)nc1
,,,,,c1cnc2c(c1)ccc1cc(N3CCOCC3)cnc12
"N,N-dimethylphenanthren-2-amine",15260108.0,C16H15N,221.30,CN(C)C1=CC2=C(C=C1)C3=CC=CC=C3C=C2,CN(C)c1ccc2c(ccc3ccccc32)c1
,,,,,CN(C)c1cc2cnccc2[nH]1
"4-(1,3-benzoxazol-2-yl)-N,N-dimethylaniline",762869.0,C15H14N2O,238.28,CN(C)C1=CC=C(C=C1)C2=NC3=CC=CC=C3O2,CN(C)c1ccc(-c2nc3ccccc3o2)cc1
"N,N-dimethyl-1,3-benzoxazol-5-amine",83381486.0,C9H10N2O,162.19,CN(C)C1=CC2=C(C=C1)OC=N2,CN(C)c1ccc2ocnc2c1
"N,N-dimethyl-1,3-benzoxazol-2-amine",271428.0,C9H10N2O,162.19,CN(C)C1=NC2=CC=CC=C2O1,CN(C)c1nc2ccccc2o1
"N,N-dimethyl-1,3-benzothiazol-5-amine",22609017.0,C9H10N2S,178.26,CN(C)C1=CC2=C(C=C1)SC=N2,CN(C)c1ccc2scnc2c1
"N,N-dimethyl-1,3-benzothiazol-2-amine",19995.0,C9H10N2S,178.26,CN(C)C1=NC2=CC=CC=C2S1,CN(C)c1nc2ccccc2s1
"N,N,1-trimethylbenzimidazol-5-amine",20453555.0,C10H13N3,175.23,CN1C=NC2=C1C=CC(=C2)N(C)C,CN(C)c1ccc2c(c1)ncn2C
"N,N,1-trimethylbenzimidazol-2-amine",640784.0,C10H13N3,175.23,CN1C2=CC=CC=C2N=C1N(C)C,CN(C)c1nc2ccccc2n1C
,,,,,CN(C)c1ccc2c(n1)sc1ccccc12
,,,,,CN(C)c1ccc2c(c1)sc1cc(C#N)ccc12
,,,,,CN(C)c1ccc2c(n1)[SiH2]c1ccccc1-2
,,,,,CN(C)c1ccc2c(n1)oc1ccccc12
,,,,,CN(C)c1cc(C#N)c(C#N)c(C#N)c1
"1-[4-(dimethylamino)phenyl]-2,2,2-trifluoroethanone",2825048.0,C10H10F3NO,217.19,CN(C)C1=CC=C(C=C1)C(=O)C(F)(F)F,CN(C)c1ccc(C(=O)C(F)(F)F)cc1
4-(dimethylamino)benzaldehyde,7479.0,C9H11NO,149.19,CN(C)C1=CC=C(C=C1)C=O,CN(C)c1ccc(C=O)cc1
1-[4-(dimethylamino)phenyl]ethanone,75037.0,C10H13NO,163.22,CC(=O)C1=CC=C(C=C1)N(C)C,CC(=O)c1ccc(N(C)C)cc1
"N,N-dimethyl-4-methylsulfonylaniline",3787364.0,C9H13NO2S,199.27,CN(C)C1=CC=C(C=C1)S(=O)(=O)C,CN(C)c1ccc(S(C)(=O)=O)cc1
"2-(dimethylamino)benzene-1,3,5-tricarbonitrile",90875077.0,C11H8N4,196.21,CN(C)C1=C(C=C(C=C1C#N)C#N)C#N,CN(C)c1c(C#N)cc(C#N)cc1C#N
"5-(dimethylamino)acenaphthylene-1,2-dione",153955721.0,C14H11NO2,225.24,CN(C)C1=C2C=CC=C3C2=C(C=C1)C(=O)C3=O,CN(C)c1ccc2c3c(cccc13)C(=O)C2=O
"5-(dimethylamino)isoindole-1,3-dione",12711049.0,C10H10N2O2,190.20,CN(C)C1=CC2=C(C=C1)C(=O)NC2=O,CN(C)c1ccc2c(c1)C(=O)NC2=O
,,,,,CN(C)c1ccc2c(c1)C(=O)C=CC2=O
"2-(dimethylamino)naphthalene-1,4-dione",16870.0,C12H11NO2,201.22,CN(C)C1=CC(=O)C2=CC=CC=C2C1=O,CN(C)C1=CC(=O)c2ccccc2C1=O
2-[(2Z)-2-[[4-(dimethylamino)phenyl]methylidene]-3-oxoinden-1-ylidene]propanedinitrile,13843802.0,C21H15N3O,325.4,CN(C)C1=CC=C(C=C1)C=C2C(=C(C#N)C#N)C3=CC=CC=C3C2=O,CN(C)c1ccc(/C=C2\C(=O)c3ccccc3C2=C(C#N)C#N)cc1
,,,,,CN(C)c1c[nH]c2ccccc2c1=O
,,,,,Cc1cc(C)c(B(c2c(C)cc(C)cc2C)N(C)C)c(C)c1
,,,,,CN(C)c1ccc2c(c1)C(=O)c1ccccc1C2=C(C#N)C#N
2-[[5-(dimethylamino)thiophen-2-yl]methylidene]propanedinitrile,71529657.0,C10H9N3S,203.27,CN(C)C1=CC=C(S1)C=C(C#N)C#N,CN(C)c1ccc(C=C(C#N)C#N)s1
,,,,,CN(C)c1ccc(/C=C2\C(=O)c3ccccc3C2=C(C#N)C#N)s1
,,,,,CN(C)c1ccc2c3c(cccc13)-c1nc3cc(C#N)c(C#N)cc3nc1-2
2-(dimethylamino)pyrimidine-5-carbonitrile,45080304.0,C7H8N4,148.17,CN(C)C1=NC=C(C=N1)C#N,CN(C)c1ncc(C#N)cn1
"N,N-dimethyl-1,10-phenanthrolin-3-amine",166805733.0,C14H13N3,223.27,CN(C)C1=CN=C2C(=C1)C=CC3=C2N=CC=C3,CN(C)c1cnc2c(ccc3cccnc32)c1
,,,,,CN(C)c1ccc(-c2ccon2)c2ccccc12
,,,,,CN(C)c1ccc(-c2ccno2)c2ccccc12
,,,,,CN(C)c1ccc(-c2cnoc2)c2ccccc12
,,,,,CN(C)c1ccc(-c2ncco2)c2ccccc12
,,,,,CN(C)c1ccc(-c2cocn2)c2ccccc12
,,,,,CN(C)c1ccc(-c2cnco2)c2ccccc12
,,,,,CN(C)c1ccc(-c2cncs2)c2ccccc12
,,,,,CN(C)c1ccc(-c2nccs2)c2ccccc12
,,,,,CN(C)c1ccc(-c2cscn2)c2ccccc12
,,,,,CN(C)c1ccc(-c2ccc3c(ccc4ccccc43)c2)c2ccccc12
,,,,,CN(C)c1ccc(-c2cc3cnccc3[nH]2)c2ccccc12
,,,,,CN(C)c1ccc(-c2ccc(-c3nc4ccccc4o3)cc2)c2ccccc12
,,,,,CN(C)c1ccc(-c2ccc3ocnc3c2)c2ccccc12
,,,,,CN(C)c1ccc(-c2nc3ccccc3o2)c2ccccc12
,,,,,CN(C)c1ccc(-c2ccc3scnc3c2)c2ccccc12
"4-(1,3-benzothiazol-2-yl)-N,N-dimethylnaphthalen-1-amine",137736346.0,C19H16N2S,304.4,CN(C)C1=CC=C(C2=CC=CC=C21)C3=NC4=CC=CC=C4S3,CN(C)c1ccc(-c2nc3ccccc3s2)c2ccccc12
,,,,,CN(C)c1ccc(-c2ccc3c(c2)ncn3C)c2ccccc12
,,,,,CN(C)c1ccc(-c2nc3ccccc3n2C)c2ccccc12
,,,,,CN(C)c1ccc(-c2ccc3c(n2)sc2ccccc23)c2ccccc12
,,,,,CN(C)c1ccc(-c2ccc3c(c2)sc2cc(C#N)ccc23)c2ccccc12
,,,,,CN(C)c1ccc(-c2ccc3c(n2)[SiH2]c2ccccc2-3)c2ccccc12
,,,,,CN(C)c1ccc(-c2ccc3c(n2)oc2ccccc23)c2ccccc12
,,,,,CN(C)c1ccc(-c2cc(C#N)c(C#N)c(C#N)c2)c2ccccc12
,,,,,CN(C)c1ccc(-c2ccc(C(=O)C(F)(F)F)cc2)c2ccccc12
,,,,,CN(C)c1ccc(-c2ccc(C=O)cc2)c2ccccc12
,,,,,CC(=O)c1ccc(-c2ccc(N(C)C)c3ccccc23)cc1
,,,,,CN(C)c1ccc(-c2ccc(S(C)(=O)=O)cc2)c2ccccc12
,,,,,CN(C)c1ccc(-c2cc(C=O)ccc2C=O)c2ccccc12
,,,,,CN(C)c1ccc(-c2c(C#N)cc(C#N)cc2C#N)c2ccccc12
,,,,,CN(C)c1ccc(-c2ccc3c4c(cccc24)C(=O)C3=O)c2ccccc12
,,,,,CN(C)c1ccc(-c2c(F)c(F)c(F)c(F)c2F)c2ccccc12
,,,,,CN(C)c1ccc(-c2ccc3c(c2)C(=O)NC3=O)c2ccccc12
,,,,,CN(C)c1ccc(-c2ccc3c(c2)C(=O)C=CC3=O)c2ccccc12
"2-[4-(dimethylamino)naphthalen-1-yl]naphthalene-1,4-dione",629903.0,C22H17NO2,327.4,CN(C)C1=CC=C(C2=CC=CC=C21)C3=CC(=O)C4=CC=CC=C4C3=O,CN(C)c1ccc(C2=CC(=O)c3ccccc3C2=O)c2ccccc12
,,,,,CN(C)c1ccc(C2=CC(=O)C=CC2=O)c2ccccc12
,,,,,CN(C)c1ccc(C2=CC(=O)NC2=O)c2ccccc12
"1-[4-(dimethylamino)naphthalen-1-yl]pyrrole-2,5-dione",3470016.0,C16H14N2O2,266.29,CN(C)C1=CC=C(C2=CC=CC=C21)N3C(=O)C=CC3=O,CN(C)c1ccc(N2C(=O)C=CC2=O)c2ccccc12
,,,,,CN(C)c1ccc(-c2ccc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)cc2)c2ccccc12
,,,,,CN(C)c1ccc(-c2c[nH]c3ccccc3c2=O)c2ccccc12
"4-bis(2,4,6-trimethylphenyl)boranyl-N,N-dimethylnaphthalen-1-amine",85798989.0,C30H34BN,419.4,B(C1=CC=C(C2=CC=CC=C12)N(C)C)(C3=C(C=C(C=C3C)C)C)C4=C(C=C(C=C4C)C)C,Cc1cc(C)c(B(c2c(C)cc(C)cc2C)c2ccc(N(C)C)c3ccccc23)c(C)c1
,,,,,CN(C)c1ccc(-c2ccc3c(c2)C(=O)c2ccccc2C3=C(C#N)C#N)c2ccccc12
,,,,,CN(C)c1ccc(-c2ccc(C=C(C#N)C#N)s2)c2ccccc12
,,,,,CN(C)c1ccc(-c2ccc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)s2)c2ccccc12
,,,,,CN(C)c1ccc(-c2ccc3c4c(cccc24)-c2nc4cc(C#N)c(C#N)cc4nc2-3)c2ccccc12
,,,,,CN(C)c1ccc(-c2ncc(C#N)cn2)c2ccccc12
,,,,,CN(C)c1ccc(-c2ccccn2)c2ccccc12
,,,,,CN(C)c1ccc(-c2cnc3c(ccc4cccnc43)c2)c2ccccc12
,,,,,CN(C)c1cc(-c2ccon2)c2ccccc2c1
,,,,,CN(C)c1cc(-c2ccno2)c2ccccc2c1
,,,,,CN(C)c1cc(-c2cnoc2)c2ccccc2c1
,,,,,CN(C)c1cc(-c2ncco2)c2ccccc2c1
,,,,,CN(C)c1cc(-c2cocn2)c2ccccc2c1
,,,,,CN(C)c1cc(-c2cnco2)c2ccccc2c1
,,,,,CN(C)c1cc(-c2cncs2)c2ccccc2c1
,,,,,CN(C)c1cc(-c2nccs2)c2ccccc2c1
