compoud name,CID,molecular formula,molecular weight,Canonical SMILES,SMILES
"N,N-dimethyl-4-(1,2-oxazol-3-yl)aniline",151232560.0,C11H12N2O,188.23,CN(C)C1=CC=C(C=C1)C2=NOC=C2,CN(C)c1ccc(-c2ccon2)cc1
,,,,,CN(C)c1ccc(-c2ccno2)cc1
,,,,,CN(C)c1ccc(-c2cnoc2)cc1
"N,N-dimethyl-4-(1,3-oxazol-2-yl)aniline",21408904.0,C11H12N2O,188.23,CN(C)C1=CC=C(C=C1)C2=NC=CO2,CN(C)c1ccc(-c2ncco2)cc1
,,,,,CN(C)c1ccc(-c2cocn2)cc1
"N,N-dimethyl-4-(1,3-oxazol-5-yl)aniline",71326268.0,C11H12N2O,188.23,CN(C)C1=CC=C(C=C1)C2=CN=CO2,CN(C)c1ccc(-c2cnco2)cc1
"N,N-dimethyl-4-(1,3-thiazol-5-yl)aniline",86041764.0,C11H12N2S,204.29,CN(C)C1=CC=C(C=C1)C2=CN=CS2,CN(C)c1ccc(-c2cncs2)cc1
"N,N-dimethyl-4-(1,3-thiazol-2-yl)aniline",82076991.0,C11H12N2S,204.29,CN(C)C1=CC=C(C=C1)C2=NC=CS2,CN(C)c1ccc(-c2nccs2)cc1
"N,N-dimethyl-4-(1,3-thiazol-4-yl)aniline",84007949.0,C11H12N2S,204.29,CN(C)C1=CC=C(C=C1)C2=CSC=N2,CN(C)c1ccc(-c2cscn2)cc1
,,,,,CN(C)c1ccc(-c2ccc3c(ccc4ccccc43)c2)cc1
,,,,,CN(C)c1ccc(-c2cc3cnccc3[nH]2)cc1
,,,,,CN(C)c1ccc(-c2ccc(-c3nc4ccccc4o3)cc2)cc1
"4-(1,3-benzoxazol-5-yl)-N,N-dimethylaniline",166227128.0,C15H14N2O,238.28,CN(C)C1=CC=C(C=C1)C2=CC3=C(C=C2)OC=N3,CN(C)c1ccc(-c2ccc3ocnc3c2)cc1
"4-(1,3-benzoxazol-2-yl)-N,N-dimethylaniline",762869.0,C15H14N2O,238.28,CN(C)C1=CC=C(C=C1)C2=NC3=CC=CC=C3O2,CN(C)c1ccc(-c2nc3ccccc3o2)cc1
"4-(1,3-benzothiazol-5-yl)-N,N-dimethylaniline",59283058.0,C15H14N2S,254.4,CN(C)C1=CC=C(C=C1)C2=CC3=C(C=C2)SC=N3,CN(C)c1ccc(-c2ccc3scnc3c2)cc1
"4-(1,3-benzothiazol-2-yl)-N,N-dimethylaniline",95755.0,C15H14N2S,254.4,CN(C)C1=CC=C(C=C1)C2=NC3=CC=CC=C3S2,CN(C)c1ccc(-c2nc3ccccc3s2)cc1
,,,,,CN(C)c1ccc(-c2ccc3c(c2)ncn3C)cc1
"N,N-dimethyl-4-(1-methylbenzimidazol-2-yl)aniline",744236.0,C16H17N3,251.33,CN1C2=CC=CC=C2N=C1C3=CC=C(C=C3)N(C)C,CN(C)c1ccc(-c2nc3ccccc3n2C)cc1
,,,,,CN(C)c1ccc(-c2ccc3c(n2)sc2ccccc23)cc1
,,,,,CN(C)c1ccc(-c2ccc3c(c2)sc2cc(C#N)ccc23)cc1
,,,,,CN(C)c1ccc(-c2ccc3c(n2)[SiH2]c2ccccc2-3)cc1
,,,,,CN(C)c1ccc(-c2ccc3c(n2)oc2ccccc23)cc1
,,,,,CN(C)c1ccc(-c2cc(C#N)c(C#N)c(C#N)c2)cc1
,,,,,CN(C)c1ccc(-c2ccc(C(=O)C(F)(F)F)cc2)cc1
4-[4-(dimethylamino)phenyl]benzaldehyde,4321390.0,C15H15NO,225.28,CN(C)C1=CC=C(C=C1)C2=CC=C(C=C2)C=O,CN(C)c1ccc(-c2ccc(C=O)cc2)cc1
1-[4-[4-(dimethylamino)phenyl]phenyl]ethanone,245809.0,C16H17NO,239.31,CC(=O)C1=CC=C(C=C1)C2=CC=C(C=C2)N(C)C,CC(=O)c1ccc(-c2ccc(N(C)C)cc2)cc1
"N,N-dimethyl-4-(4-methylsulfonylphenyl)aniline",58831779.0,C15H17NO2S,275.4,CN(C)C1=CC=C(C=C1)C2=CC=C(C=C2)S(=O)(=O)C,CN(C)c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1
,,,,,CN(C)c1ccc(-c2cc(C=O)ccc2C=O)cc1
,,,,,CN(C)c1ccc(-c2c(C#N)cc(C#N)cc2C#N)cc1
