source,AI+AI2,AI+Human,AI+Random,AI2+Human,AI2+Random,Random+Human
target,Yield_CS,Yield_CS,Yield_CS,Yield_CS,Yield_CS,Yield_CS
run0,29.683429718017578,27.978382110595703,31.088815689086914,26.616430282592773,29.635272979736328,27.56553077697754
run1,22.82054328918457,25.97749137878418,25.510353088378906,27.096065521240234,28.37289810180664,28.16135597229004
run2,36.71965408325195,34.09699249267578,36.864898681640625,33.589595794677734,34.79475021362305,33.97443771362305
run3,27.705488204956055,28.75777816772461,29.666704177856445,27.394611358642578,29.968921661376953,29.65557861328125
run4,31.24593734741211,30.30978775024414,29.957632064819336,30.539518356323242,30.995840072631836,30.235004425048828
run5,40.557308197021484,43.039283752441406,41.6904296875,41.64585876464844,42.4261474609375,40.906280517578125
run6,32.49625015258789,34.585453033447266,33.57765197753906,33.29941177368164,34.3630485534668,33.82493209838867
run7,27.333086013793945,27.532644271850586,27.278919219970703,26.142576217651367,28.17807960510254,26.394933700561523
run8,27.739667892456055,29.433393478393555,30.59438705444336,27.812671661376953,31.023998260498047,30.41196060180664
run9,30.813791275024414,30.238500595092773,29.925569534301758,28.429636001586914,28.5341739654541,28.397459030151367
rmse_test_mean,30.71151351928711,31.19496726989746,31.615535736083984,30.256637573242188,31.82931137084961,30.952747344970703
rmse_test_max,40.557308197021484,43.039283752441406,41.6904296875,41.64585876464844,42.4261474609375,40.906280517578125
rmse_test_min,22.82054328918457,25.97749137878418,25.510353088378906,26.142576217651367,28.17807960510254,26.394933700561523
rmse_test_std,4.7866997718811035,4.7109174728393555,4.468908786773682,4.558830738067627,4.162461757659912,4.068309307098389
