source,AI+AI2,AI+Human,AI+Random,AI2+Human,AI2+Random,Random+Human
target,Yield_CA,Yield_CA,Yield_CA,Yield_CA,Yield_CA,Yield_CA
run0,24.483991622924805,22.08592414855957,21.85902214050293,18.7440242767334,23.48685073852539,21.710031509399414
run1,16.240833282470703,12.88904094696045,16.700782775878906,11.663382530212402,14.710079193115234,14.85804271697998
run2,20.662826538085938,20.710084915161133,19.952850341796875,20.826862335205078,21.64327621459961,22.419586181640625
run3,22.741085052490234,23.054166793823242,25.024253845214844,20.75062370300293,20.826351165771484,19.712200164794922
run4,24.646543502807617,24.086713790893555,21.81008529663086,19.387706756591797,24.65528106689453,22.89067840576172
run5,18.952964782714844,20.213380813598633,20.04631996154785,18.539335250854492,20.387710571289062,19.098773956298828
run6,21.39131736755371,22.455108642578125,22.738338470458984,20.991912841796875,20.42758560180664,22.880054473876953
run7,20.10808563232422,18.00811767578125,20.750957489013672,16.345617294311523,17.977331161499023,18.414512634277344
run8,22.356992721557617,22.57461929321289,23.861164093017578,20.22679328918457,21.92306900024414,22.596330642700195
run9,20.168851852416992,20.047441482543945,20.628324508666992,19.579124450683594,20.446165084838867,22.434988021850586
rmse_test_mean,21.175350189208984,20.612459182739258,21.337209701538086,18.70553970336914,20.64837074279785,20.701519012451172
rmse_test_max,24.646543502807617,24.086713790893555,25.024253845214844,20.991912841796875,24.65528106689453,22.89067840576172
rmse_test_min,16.240833282470703,12.88904094696045,16.700782775878906,11.663382530212402,14.710079193115234,14.85804271697998
rmse_test_std,2.420619010925293,3.071981906890869,2.198845386505127,2.695234775543213,2.6327552795410156,2.5105113983154297
