source,AI2+Human
target,Yield_CS
run0,22.152446746826172
run1,21.385526657104492
run2,31.859407424926758
run3,22.10239028930664
run4,33.27543640136719
run5,34.220794677734375
run6,26.44196891784668
run7,26.522384643554688
run8,28.55563735961914
run9,31.26357650756836
rmse_test_mean,27.777957916259766
rmse_test_max,34.220794677734375
rmse_test_min,21.385526657104492
rmse_test_std,4.574143886566162
