source,AI+Human,AI2+Human,Random+Human
target,Yield_CO_cl,Yield_CO_cl,Yield_CO_cl
run0,0.7554185390472412,0.7803994417190552,0.6746320724487305
run1,0.7384645342826843,0.6450294256210327,0.6674227714538574
run2,0.8438414335250854,0.7173001766204834,0.6719967722892761
run3,0.8253781795501709,0.7700254321098328,0.7855964303016663
run4,0.8111280202865601,0.8278532028198242,0.8119960427284241
run5,0.7790253162384033,0.7307316660881042,0.7547202110290527
run6,0.7906848788261414,0.6951982378959656,0.7587862014770508
run7,0.7918687462806702,0.7034492492675781,0.7513440847396851
run8,0.6808756589889526,0.6052334308624268,0.6202770471572876
run9,0.7066358327865601,0.6798273324966431,0.6735345125198364
r2_test_mean,0.7723321139812469,0.7155047595500946,0.7170306146144867
r2_test_max,0.8438414335250854,0.8278532028198242,0.8119960427284241
r2_test_min,0.6808756589889526,0.6052334308624268,0.6202770471572876
r2_test_std,0.049304421332961326,0.06244852760030012,0.05966652135863169
