SMILES,ABCGG,AATSC3d,ATSC3d,GGI10,ATSC4i,BCUTp-1l,Kier3,AATS8p,Kier2,VSA_EState3,Kappa3,Kappa2,PEOE_VSA6,BertzCT,EState_VSA3,Yield_CO,Yield_CS,Yield_CN
ClC(C=C1)=CC=C1N(C2=CC=C(Cl)C=C2)C(C(C#N)=C(N(C3=CC=C(Cl)C=C3)C4=CC=C(Cl)C=C4)C(N(C5=CC=C(Cl)C=C5)C6=CC=C(Cl)C=C6)=C7N(C8=CC=C(Cl)C=C8)C9=CC=C(Cl)C=C9)=C7C#N,41.4421499,0.10686123,25.75355632,1.863075196,85.97053631,0.961252028,12.7304405,1.927355277,25.43494898,28.33677467,10.06447778,21.22601644,92.80751912,3080.41294,102.7423155,91,99,98
BrC(C=C1)=CC=C1N(C2=CC=C(Br)C=C2)C(C(C#N)=C(N(C3=CC=C(Br)C=C3)C4=CC=C(Br)C=C4)C(N(C5=CC=C(Br)C=C5)C6=CC=C(Br)C=C6)=C7N(C8=CC=C(Br)C=C8)C9=CC=C(Br)C=C9)=C7C#N,41.4421499,0.10686123,25.75355632,1.863075196,69.28323914,0.961252028,12.7304405,2.054997723,25.43494898,24.6563694,10.62111311,22.1867412,127.4395512,3080.41294,22.7495451,92,99,97
ClC1=C(N2C(C=CC=C3)=C3C4=C2C=CC=C4)C(C#N)=C(N5C(C=CC=C6)=C6C7=C5C=CC=C7)C(C#N)=C1N8C(C=CC=C9)=C9C%10=C8C=CC=C%10,30.32148045,0.036685775,6.750182615,0.289382716,71.50139464,0.961240521,5.370363023,1.874132759,14.25274587,29.24906218,3.644627394,10.60648018,120.7955471,2830.10668,33.21169512,31,63,50
ClC1=C(N2C(C=CC(C(C)(C)C)=C3)=C3C4=C2C=CC(C(C)(C)C)=C4)C(C#N)=C(N5C(C=CC(C(C)(C)C)=C6)=C6C7=C5C=CC(C(C)(C)C)=C7)C(C#N)=C1N8C(C=CC(C(C)(C)C)=C9)=C9C%10=C8C=CC(C(C)(C)C)=C%10,43.73220269,0.146731949,56.05160443,1.715106622,165.5132041,0.96124052,10.19567867,1.693017157,20.16260856,31.07661838,8.009791119,16.60593411,172.6264119,3685.762589,33.21169512,70,56,76
ClC1=C(N2C(C=CC(OC)=C3)=C3C4=C2C=CC(OC)=C4)C(C#N)=C(N5C(C=CC(OC)=C6)=C6C7=C5C=CC(OC)=C7)C(C#N)=C1N8C(C=CC(OC)=C9)=C9C%10=C8C=CC(OC)=C%10,35.72578267,0.028109394,6.015410246,0.971917151,37.6089122,0.776048308,7.707940195,1.729637603,19.18071447,28.58119541,5.420362783,14.62761061,11.60093989,3253.450554,51.55922982,5,0,35
N#CC1=C(C(N2C(C=CC=C3)=C3C4=C2C=CC=C4)=C(N5C(C=CC=C6)=C6C7=C5C=CC=C7)C(N8C(C=CC=C9)=C9C%10=C8C=CC=C%10)=C1N%11C(C=CC=C%12)=C%12C%13=C%11C=CC=C%13)C#N,37.09443665,0.07601049,18.01448619,0.598747067,27.85063059,0.960521359,6.555555556,1.881369091,17.50637755,32.38116278,4.393807601,12.82850322,145.5928096,3655.686626,11.37477255,51,54,63
N#CC(C(N(C1=CC=CC=C1)C2=CC=CC=C2)=C(C(N(C3=CC=CC=C3)C4=CC=CC=C4)=C5N(C6=CC=CC=C6)C7=CC=CC=C7)N(C8=CC=CC=C8)C9=CC=CC=C9)=C5C#N,37.52146012,0.157389194,37.93079585,0.409345985,55.35729676,0.960546394,10.83673469,1.698359218,23.828125,23.70588661,7.482431944,17.9706676,145.5928096,2591.170956,22.7495451,91,4,49
N#CC(C(N1C(C=CC=C2)=C2C3=C1C=CC=C3)=C4N5C(C=CC=C6)=C6C7=C5C=CC=C7)=C(N8C(C=CC=C9)=C9C%10=C8C=CC=C%10)C(N%11C(C=CC=C%12)=C%12C%13=C%11C=CC=C%13)=C4C#N,37.02487126,0.071791081,17.01448619,0.677530864,55.86604008,0.960970557,6.555555556,1.850217635,17.50637755,33.00631105,4.393807601,12.82850322,145.5928096,3402.936626,33.87644808,0,9,10
N#CC(C(N(C1=CC=CC=C1)C2=CC=CC=C2)=C(C(C#N)=C3N(C4=CC=CC=C4)C5=CC=CC=C5)N(C6=CC=CC=C6)C7=CC=CC=C7)=C3N(C8=CC=CC=C8)C9=CC=CC=C9,37.45189472,0.153239817,36.93079585,0.328129783,84.05736103,0.961020214,10.83673469,1.670857428,23.828125,24.43942555,7.482431944,17.9706676,145.5928096,2399.920956,33.87644808,93,13,98
C1(C2=CC=CC=C2)=NC(C3=CC=CC=C3)=NC(C4=CC=C(N5C(C=CC=C6)=C6C7=C5C=CC=C7)C=C4)=N1,20.46220034,-0.001830584,-0.250790003,0.258143047,21.5358858,0.970115673,5.373966942,1.438342982,11.85165278,2.499350812,3.75821272,8.846120412,97.0618731,1743.792097,17.47321349,16,0,7
